Index	Level	Language	Sentence	Normalized	Corrected	Clause_type	Verb_type	Error_type	Clause_structure	Annotated
1	A2	Arabisch	Kunnen wandelen wij?	Kunnen wandelen wij?	Kunnen wij wandelen?	p	nf	verb-final	fv nfv s	human
2	A2	Arabisch	Bovendien wij de musea kunnen bezoeken, ik denk dat de Chocolade museum in Brussel uitstekend is.	Bovendien wij de musea kunnen bezoeken.	Bovendien kunnen wij de musea bezoeken.	m	f	verb-second	a s o fv nfv	human
6	B2	Russisch	Maar wat, wanneer en hoeveel heeft kind op een bepaalde manier nodig kent allen hun ouder.	Maar wat, wanneer en hoeveel heeft een kind op een bepaalde manier nodig, weet alleen zijn ouder.	Maar wat, wanneer en hoeveel een kind op een bepaalde manier nodig heeft, weet alleen zijn ouder.	s	f	verb-final	se fv s a a	human
8	B1	Frans	Dat is inderdaad beter dat je niet Kim sport te doen dwingt.	Dat is inderdaad beter dat je Kim niet te sporten dwingt.	Dat is inderdaad beter dat je Kim niet dwingt te sporten.	s	ic	post-verbal	se s o a te nfv fv	human
10	B1	Frans	Ik denk dat is een goed idee dat je en jouw dochter naar school fietsen.	Ik denk dat dat is een goed idee dat jij en jouw dochter naar school fietsen.	Ik denk dat dat een goed idee is dat jij en jouw dochter naar school fietsen.	s	f	verb-final	se s fv o	human
11	B1	Frans	Ik denk dat is ook een goed idee een fitness coach te zien.	Ik denk dat het is ook een goed idee om een fitness coach te zien.	Ik denk dat het ook een goed idee is om een fitness coach te zien.	s	f	verb-final	se s fv a o	human
12	B1	Frans	Dat werked wel voor me als het moeilijk schermenclub vinden was.	Dat werkte goed voor mij toen het moeilijk om een schermenclub te vinden was.	Dat werkte goed voor mij toen het moeilijk was om een schermenclub te vinden.	s	ic	post-verbal	se s a om o te nfv fv	human
14	B1+	Spaans	De mensen die wonen in dorpen zijn zo conservatief.	De mensen die wonen in dorpen zijn zo conservatief.	De mensen die in dorpen wonen zijn zo conservatief.	s	f	verb-final	se fv a	human
15	B2	Chinees	Er zijn vele uitspraken in Nederlands die bestaan niet in Aziatische talen.	Er zijn vele uitspraken in het Nederlands die bestaan niet in Aziatische talen.	Er zijn vele uitspraken in het Nederlands die in Aziatische talen niet bestaan.	s	f	verb-final	se fv a a	human
16	B1+	Russisch	Ik wil verduidelijken dat ik over de mensen die kleine misdaden hebben gepleegd spreek.	Ik wil verduidelijken dat ik over de mensen die kleine misdaden hebben gepleegd spreek.	Ik wil verduidelijken dat ik spreek over de mensen die kleine misdaden hebben gepleegd.	s	pc	post-verbal	se s pc fv	human
19	A2	Turks	Ik ben afgestudeerd aan de muziekacademie toen ik was op middelbare school.	Ik ben afgestudeerd aan de muziekacademie toen ik zat op de middelbare school.	Ik ben afgestudeerd aan de muziekacademie toen ik op de middelbare school zat.	s	f	verb-final	se s fv a	human
21	A2+	Catalaans	Éen ding dat mij uniek maakt is dat ik kan op mensen klimmen, en we kunnen samen menselijke torens maken.	Één ding dat mij uniek maakt is dat ik kan op mensen klimmen.	Één ding dat mij uniek maakt is dat ik op mensen kan klimmen.	s	f	verb-final	se s fv a nfv	human
22	A2+	Catalaans	Ik studeer het Nederlands omdat ik leer graag talen (of ik talen weet graag?), maar ook omdat mijn collega’s op het werk het Nederlands veel spreken.	Ik studeer het Nederlands omdat ik leer graag talen.	Ik studeer het Nederlands omdat ik graag talen leer.	s	f	verb-final	se s fv a o	human
24	A2+	Catalaans	Wat vind ik moeilijk in het Nederlands is het zinstructuur, maar ik ga veel studeren!	Wat vind ik moeilijk in het Nederlands is de zinsstructuur.	Wat ik moeilijk vind in het Nederlands is de zinsstructuur.	s	f	verb-final	se fv s a a	human
26	A2+	Frans	Tijdens het etentje, Sam heeft begrijpt dat  Paolo en Anna drie keer per week contact hebben om te Italiaans en Nederlands praktiseren.	Tijdens het etentje Sam heeft begrepen dat Paolo en Anna drie keer per week contact hebben om te Italiaans en Nederlands oefenen.	Tijdens het etentje heeft Sam begrepen dat Paolo en Anna drie keer per week contact hebben om Italiaans en Nederlands te oefenen.	m	f	verb-second	a s fv nfv	human
29	B1	Frans	Wij zijn een rustig koppel die houdt van muziek, sport en reizen.	Wij zijn een rustig koppel dat houdt van muziek, sporten en reizen.	Wij zijn een rustig koppel dat van muziek, sporten en reizen houdt.	s	f	verb-final	se fv po	human
30	B1	Engels	Als Ik was een fotograf, dan ik niet in een klaslokaal op een universiteit worden zitten.	Als ik was een fotograaf dan ik niet in een klaslokaal op een universiteit zou zitten.	Als ik een fotograaf was dan zou ik niet in een klaslokaal op een universiteit zitten.	s	f	verb-final	se s fv o	human
30	B1	Engels	Als Ik was een fotograf, dan ik niet in een klaslokaal op een universiteit worden zitten.	Als ik was een fotograaf dan ik niet in een klaslokaal op een universiteit zou zitten.	Als ik een fotograaf was dan zou ik niet in een klaslokaal op een universiteit zitten.	m	f	verb-second	m s a a a fv nfv	human
32	A2	Russisch	Ik ben heel blij dat je tijd heeft om te bezoek me.	Ik ben heel blij dat je tijd hebt om te bezoeken me.	Ik ben heel blij dat je tijd hebt om me te bezoeken.	s	ic	post-verbal	se s o fv om te nfv o	human
33	A2	Russisch	We moeten zeker bezoeken het Rubensmuseum, het bekendste museum van de stad.	We moeten zeker bezoeken het Rubensmuseum.	We moeten zeker het Rubensmuseum bezoeken.	m	nf	verb-final	s fv a nfv o	human
34	A2	Spaans	Kinsale heeft enkele parken naast de zee, waar kunnen jouw kinderen zich amuseren.	Kinsale heeft enkele parken naast de zee waar kunnen jouw kinderen zich amuseren.	Kinsale heeft enkele parken naast de zee waar jouw kinderen zich kunnen amuseren.	s	f	verb-final	se fv s m nfv	human
35	A2	Spaans	Ik zou graag samen met jou de dorp willen bezoeken, maar woon ik nu in Leuven.	Ik zou graag samen met jou het dorp willen bezoeken, maar woon ik nu in Leuven.	Ik zou graag samen met jou het dorp willen bezoeken, maar ik woon nu in Leuven.	m	f	verb-second	fv s a a 	human
36	B1	Frans	Wat mij betreft, zou ik helemaal geen brandweerman willen zijn.	Wat mij betreft, zou ik helemaal geen brandweerman willen zijn.	Wat mij betreft, ik zou helemaal geen brandweerman willen zijn.	m	f	verb-second	fv s a a o nfv nfv	human
40	A2	Arabisch	Ik kom als het regent naar de les is.	Ik kom als het regent naar de les.	Als het regent kom ik naar de les.	m	f	verb-second	s fv se s fv a	human
45	A2	Spaans	Op vrijdag s´morgen kunnen we gaan naar Leuven en bezoeken we het oud stadhuis, er is heel mooi, in de namiddag kunnen we naar zwartehond cafe en eten we hier, dat cafe heeft uitstekende broodjes en desserts.	Vrijdagmorgen kunnen we gaan naar Leuven.	Vrijdagmorgen kunnen we naar Leuven gaan.	m	nf	verb-final	a fv s nfv a	human
47	B1	Frans	Ten eerst, de architectuur is geweldig, met heel veel bezienswaardigheden van de middleeuwen: kerken, bouwen, toren, en het mooie kasteel “het Gravensteen”.	Ten eerste de architectuur is geweldig.	Ten eerste is de architectuur geweldig.	m	f	verb-second	a s fv a	human
48	B1	Frans	Ten tweede, de kunst in Gent is erg ontwikkeld en gevarieerd.	Ten tweede de kunst in Gent is erg ontwikkeld en gevarieerd.	Ten tweede is de kunst in Gent erg ontwikkeld en gevarieerd.	m	f	verb-second	a s a fv a a m a	human
49	B1	Frans	Ten slotte, elke drie jaar organiseert de stad Gent een lichtfestival.	Ten slotte elke drie jaar organiseert de stad Gent een lichtfestival.	Ten slotte organiseert de stad Gent elke drie jaar een lichtfestival.	m	f	verb-second	a a fv s o	human
52	A2	Frans	Ten tweede de belge bevolking agressiefer dan voor worden ?	Ten tweede, de belgische bevolking agressiever dan voorheen wordt?	Ten tweede, wordt de belgische bevolking agressiever dan voorheen?	p	f	verb-first	s a m a fv	human
53	A2	Frans	Een heel goed punt om de overbevolking te verminderen is de opsluiting voor kleine delinquentie vervangen door weerstraf en zodat we de mensen kunnen beter begeleiden.	Een heel goed punt om de overbevolking te verminderen is het opsluiten van kleine delinquenten te vervangen door werkstraf zodat we de mensen kunnen beter begeleiden.	Een heel goed punt om de overbevolking te verminderen is het opsluiten van kleine delinquenten te vervangen door werkstraf zodat we de mensen beter kunnen begeleiden.	s	f	verb-final	se s o fv a nfv	human
54	A2	Arabisch	Ik ben Bouchra KHAIL, ik vlog de Néderlands cursus niveau 2,  zoals u weet, we mondeling examen op 27 Januari  hebben, maar ik heb mijn vlucht naar Marokko de dezelfde dag, zo i kan dit examen niet afleggen.	Zoals u weet, we een mondeling examen op 27 januari hebben.	Zoals u weet, hebben we een mondeling examen op 27 januari.	m	f	verb-second	s o a fv	human
58	A2	Spaans	Ik werkte voor 20 jaars in Wall Street (New York) maar nu, ik heb een sabbatical en ik studeer een Advanced Master in Economie aan KU Leuven.	Nu ik heb een sabbatical.	Nu heb ik een sabbatical.	m	f	verb-second	a s fv o	human
61	A2	Roemeens	Dus echt een beter milieu begint bij jezelf.	Dus echt een beter milieu begint bij jezelf.	Een beter milieu begint dus echt bij jezelf.	m	f	verb-second	a a s fv a	human
62	B1	Luxemburgs	Ik moet toegeven dat ik dat niet zo goed kan of dat zijn niet mijn sterktes.	Ik moet toegeven dat ik dat niet zo goed kan of dat dat zijn niet mijn sterktes.	Ik moet toegeven dat ik dat niet zo goed kan of dat dat niet mijn sterktes zijn.	s	f	verb-final	se s fv a o	human
69	A2+	Russisch	Daar kan je ook cafès vinden, maar ik denk dat de cafès op deze straat zijn slechter dan de cafès op Graslei.	Ik denk dat de cafés op deze straat zijn slechter dan de cafés op Graslei.	Ik denk dat de cafés op deze straat slechter zijn dan de cafés op Graslei.	s	f	verb-final	se s a fv a	human
70	A2+	Russisch	In de middag kunnen wij naar Bavet gaan, omdat ik hem is de lekkerste plaats in Gent.	Op de middag kunnen wij naar Bavet gaan, omdat hij is de lekkerste plaats in Gent.	Op de middag kunnen wij naar Bavet gaan, omdat hij de lekkerste plaats in Gent is.	s	f	verb-final	se s fv o a	human
71	A2+	Frans	In mijn vrije tijd, ik speelde graag Lego en bordspelletjes met mijn broers en ouders, ik fietste en ik speelde graag met een bal op het strand.	In mijn vrije tijd ik speelde graag Lego en bordspelletjes met mijn broers en ouders.	In mijn vrije tijd speelde ik graag Lego en bordspelletjes met mijn broers en ouders.	m	f	verb-second	a s fv a o m o a	human
73	A2	Chinees	Ik volg nu een cursus Nederlands aan het ILT van de KU Leuven, waarin heb ik bijna mijn alle vrienden leren kennen.	Ik volg nu een cursus Nederlands aan het ILT van de KU Leuven, waarin heb ik bijna al mijn vrienden leren kennen.	Ik volg nu een cursus Nederlands aan het ILT van de KU Leuven, waarin ik bijna al mijn vrienden heb leren kennen.	s	f	verb-final	se fv s a o nfv nfv	human
74	A2	Chinees	ik vind dat Leuven en Gent zijn comfortable steden, Er sta KU Universiteit in Leuven en  vol cultuur is.	Ik vind dat Leuven en Gent zijn comfortabele steden.	Ik vind dat Leuven en Gent comfortabele steden zijn.	s	f	verb-final	se s fv a o	human
75	A2	Chinees	Gent en Liége is niet druk, vind ik dat rustig en mooi zijn.	Vind ik dat ze rustig en mooi zijn.	Ik vind dat ze rustig en mooi zijn.	m	f	verb-second	fv s	human
76	A2	Chinees	Als jij hout van een mix van cultuur en natuur! We moeten gaan Leuven, Gent en Liége bezoeken.	We moeten gaan Leuven, Gent en Liège bezoeken.	We moeten Leuven, Gent en Liège gaan bezoeken.	m	nf	verb-final	s fv nfv o nfv	human
78	A2	Engels	Omdat ik woon in België, studeer ik Nederlands.	Omdat ik woon in België, studeer ik Nederlands.	Omdat ik in België woon, studeer ik Nederlands.	s	f	verb-final	se s fv a	human
79	A2	Roemeens	De doktor zegt dat ik mij goed verzorgen moet en ik moet veel rusten!	De dokter zegt dat ik goed voor mezelf zorgen moet.	De dokter zegt dat ik goed voor mezelf moet zorgen.	s	nf	verb-final	se s a po nfv fv	human
80	B1+	Spaans	Als ik een tip zou geven naar de mensen die hulp nodig met inburgering hebben , zou ik zeggen dat je mag proberen om andere culturen te begrijpen MAAR altijd over jouw eigene cultuur informeren,helaas dat werkt niet altijd omdat ik veel identiteitcrisis heb gehad maar het is een deel van het proces.	Als ik een tip zou geven naar de mensen die hulp nodig met de inburgering hebben, zou ik zeggen dat je moet proberen andere culturen te begrijpen.	Als ik een tip zou geven naar de mensen die hulp nodig hebben met de inburgering, zou ik zeggen dat je moet proberen andere culturen te begrijpen.	s	pc	post-verbal	se o a pc fv	human
81	A2	Russisch	Ik zal bel je en we maken een afspraak.	Ik zal bellen je en we maken een afspraak.	Ik zal je bellen en we maken een afspraak.	m	nf	verb-final	s fv nfv o	human
82	B2	Arabisch	Eigelijk het heeft ook meer te maken met de oersoonlijkheid en het identiteit van de expat, of hij introvert of sociaal is, of het type dat zichzelf veel vertrouwt.	Eigenlijk het heeft ook meer te maken met de persoonlijkheid en de identiteit van de expat.	Eigenlijk heeft het ook meer te maken met de persoonlijkheid en de identiteit van de expat.	m	f	verb-second	a s fv a a te nfv pc	human
84	B2	Arabisch	hier moeten we niet vergeten, dat iemand de leeftijd van achttien bereikt, wordt hij dan zelfstandig, dus hij moet wel zelf werken en studeren, daadoor zijn er veel mensen die geen tijd hebben.	Hierbij mogen we niet vergeten dat, als iemand de leeftijd van achttien bereikt, wordt hij zelfstandig.	Hierbij mogen we niet vergeten dat, als iemand de leeftijd van achttien bereikt, hij zelfstandig wordt.	s	f	verb-final	se m fv s a	human
85	B2	Chinees	Over de activiteiten die moeten samengespeeld worden zoals tennissen, badminton spelen enzovoort, had ik lastig om partners te vinden, of om met elkaar een juist tijdstip aan te passen.	Bij de activiteiten die moeten samen gespeeld worden zoals tennis, badminton enzovoort, was het lastig voor mij om partners te vinden.	Bij de activiteiten die samen moeten worden gespeeld zoals tennis, badminton enzovoort, was het lastig voor mij om partners te vinden.	s	f	verb-final	se fv a nfv nfv m	human
88	B1+	Chinees	Voordat de besmet mensen van bewust waren, misschien hadden ze al andere mensen besmetten.	Voordat de besmette mensen er zich van bewust waren, misschien hadden ze al andere mensen besmet.	Voordat de besmette mensen er zich van bewust waren, hadden ze misschien al andere mensen besmet.	m	f	verb-second	m a fv s a o a	human
91	A2+	Italiaans	Toen ze haar koffie aan het drinken was, zag ze een vrouw tegen haar lopen die zag er boos en bang uit.	Toen ze haar koffie aan het drinken was, zag ze een vrouw tegen haar aanlopen die zag er boos en bang uit.	Toen ze haar koffie aan het drinken was, zag ze een vrouw tegen haar aanlopen die er boos en bang uitzag.	s	f	verb-final	se fv m a p	human
94	A2+	Italiaans	We hebben veel fietsen teruggevonden hier in Leuven, dus hopelijk we zal uw fiets ook teruggvinden.	We hebben veel fietsen teruggevonden hier in Leuven, dus hopelijk we zullen uw fiets ook terugvinden.	We hebben veel fietsen teruggevonden hier in Leuven, dus hopelijk zullen we uw fiets ook terugvinden.	m	f	verb-second	a s fv o a nfv	human
98	A2+	Chinees	De liedjes van Poulenc zijn eclectish en fris-huppelend, kristalhelder en razendsnel, daarom ik wil dit concert gaan.	De liedjes van Poulenc zijn eclectisch, kristalhelder en razendsnel, daarom ik wil naar dit concert gaan.	De liedjes van Poulenc zijn eclectisch, kristalhelder en razendsnel, daarom wil ik naar dit concert gaan.	m	f	verb-second	ce s fv a nfv	human
99	A2+	Italiaans	Daarna als we tijd hebben we met de train naar Brussel gaan en we bezoeken het Museum voor Natuurwetenschappen.	Daarna als we tijd hebben we met de trein naar Brussel gaan en we bezoeken het Museum voor Natuurwetenschappen.	Daarna gaan we met de trein naar Brussel als we tijd hebben en bezoeken we het Museum voor Natuurwetenschappen.	m	f	verb-second	a m s a a fv	human
99	A2+	Italiaans	Daarna als we tijd hebben we met de train naar Brussel gaan en we bezoeken het Museum voor Natuurwetenschappen.	Daarna als we tijd hebben we met de trein naar Brussel gaan en we bezoeken het Museum voor Natuurwetenschappen.	Daarna gaan we met de trein naar Brussel als we tijd hebben en bezoeken we het Museum voor Natuurwetenschappen.	m	f	verb-second	ce s fv o	human
100	A2+	Engels	Ten eerste denk ik dat als je de cultuur van een ander land will kennenleren, moet jij de taal begrijpen.	Ten eerste denk ik dat als je de cultuur van een ander land wilt leren kennen moet je de taal begrijpen.	Ten eerste denk ik dat je de taal moet begrijpen als je de cultuur van een ander land wilt leren kennen.	s	f	verb-final	se m fv s o nfv	human
102	A2+	Engels	Verder, als jij met de locale bevolking om in hun eigen taal te spreken probeer, worden ze natuurlijk veel vriendlijker en gemakkelijker.	Als je verder met de lokale bevolking in hun eigen taal te spreken probeert, worden ze natuurlijk veel vriendelijker en gemakkelijker.	Als je verder probeert met de lokale bevolking in hun eigen taal te spreken, worden ze natuurlijk veel vriendelijker en gemakkelijker.	s	ic	post-verbal	se s a po a te nfv fv	human
103	A2+	Engels	Ik geloov dat het heel vriendelijk van Vlamingen om hun taal te aanpassen is.	Ik geloof dat het heel vriendelijk van Vlamingen om hun taal te aan passen is.	Ik geloof dat het heel vriendelijk is van Vlamingen om hun taal aan te passen.	s	ic	post-verbal	se s a a pc om o te p nfv fv	human
105	B1	Italiaans	Aan de andere kant, mijn tweede kind, Sofie, heeft verschillende sporten geprobeerd.	Aan de andere kant mijn tweede kind, Sofie, heeft verschillende sporten geprobeerd.	Aan de andere kant heeft mijn tweede kind, Sofie, verschillende sporten geprobeerd.	m	f	verb-second	a s fv o nfv	human
108	B1	Italiaans	Ik raadde hem een muziekinstrument spelen aan, en hij onmiddellijk glimlachte en piano als instrument koos.	Ik raadde hem een muziekinstrument te spelen aan en hij onmiddellijk glimlachte en een piano als instrument koos.	Ik raadde hem aan een muziekinstrument te spelen en hij glimlachte onmiddellijk en koos als instrument een piano.	m	ic	post-verbal	s fv o te nfv p	human
108	B1	Italiaans	Ik raadde hem een muziekinstrument spelen aan, en hij onmiddellijk glimlachte en piano als instrument koos.	Ik raadde hem een muziekinstrument te spelen aan en hij onmiddellijk glimlachte en een piano als instrument koos.	Ik raadde hem aan een muziekinstrument te spelen en hij glimlachte onmiddellijk en koos als instrument een piano.	m	f	verb-second	s a fv	human
108	B1	Italiaans	Ik raadde hem een muziekinstrument spelen aan, en hij onmiddellijk glimlachte en piano als instrument koos.	Ik raadde hem een muziekinstrument te spelen aan en hij onmiddellijk glimlachte en een piano als instrument koos.	Ik raadde hem aan een muziekinstrument te spelen en hij glimlachte onmiddellijk en koos als instrument een piano.	m	f	verb-second	ce o m fv	human
