correct	VR	corrected	prob
De meeste mensen deugen 	De deugen meeste mensen 	De deugen meeste mensen	4.288443961583378e-14
Ontzettend bedankt voor jullie steun 	Ontzettend voor bedankt jullie steun 	Ontzettend bedankt voor jullie steun	1.5032424529434477e-21
Maar toen kwam corona 	Maar toen corona kwam 	Maar toen corona kwam	3.077658461541119e-16
Daarbij werd vuurwerk afgestoken 	Daarbij afgestoken vuurwerk werd 	Daarbij werd vuurwerk afgestoken	1.4033950302639283e-20
Er werden geen arrestaties verricht 	werden verricht Er geen arrestaties 	Er werden geen arrestaties verricht	4.3120909014687796e-19
Maak duidelijke spelregels voor thuiswerk 	duidelijke spelregels voor thuiswerk Maak 	duidelijke spelregels Maak voor thuiswerk	2.788091550124266e-24
Waarom was Tetris zo verslavend 	was Waarom Tetris zo verslavend 	Waarom Tetris zo verslavend was	1.678683747375101e-20
Ze overleggen met buren 	overleggen Ze met buren 	Ze overleggen met buren	1.4886083790582557e-17
Komen tot een juiste conclusie 	tot een juiste Komen conclusie 	Komen tot een juiste conclusie	4.13458803328342e-18
Hoe staat het ervoor 	staat Hoe het ervoor 	Hoe staat het ervoor	2.087899494392924e-13
Dat is een groot pluspunt 	Dat een is groot pluspunt 	Dat is een groot pluspunt	1.1704128536262618e-14
Dat aangeboren systeem is aspecifiek 	Dat aangeboren is systeem aspecifiek 	Dat aangeboren systeem is aspecifiek	1.8502739295716896e-20
Deze afweer heeft twee vormen 	heeft Deze afweer twee vormen 	Deze afweer heeft twee vormen	7.702553813040882e-20
Moet ik aangifte erfbelasting doen 	ik aangifte doen erfbelasting Moet 	ik Moet aangifte erfbelasting doen	2.9889961824371433e-20
Schud geen handen 	geen Schud handen 	geen Schud handen	6.193211217746828e-17
Hebt u een afspraak 	u Hebt een afspraak 	Hebt u een afspraak	2.927090124152788e-14
Kom zo veel mogelijk alleen 	zo Kom veel mogelijk alleen 	zo veel mogelijk Kom alleen	3.574692251247723e-18
Hebt u hulp nodig 	u hulp Hebt nodig 	Hebt u hulp nodig	5.485970433127191e-17
Wij helpen u graag verder 	Wij u graag helpen verder 	Wij helpen u graag verder	3.711295028433654e-19
Wilt u liever langskomen 	langskomen u Wilt liever 	Wilt u liever langskomen	8.538474460816363e-18
Dan kan ook 	kan Dan ook 	Dan kan ook	1.160488092997841e-11
De tweede bel is gegaan 	De tweede is bel gegaan 	De tweede bel is gegaan	5.532187478576398e-17
En geeft dus een antwoord 	En dus geeft een antwoord 	En dus geeft een antwoord	1.73097894583258e-16
Welke achternaam krijgt uw kind 	krijgt Welke achternaam uw kind 	Welke achternaam krijgt uw kind	3.0330063827877673e-19
De longen bestaan uit longblaasjes 	bestaan De longen uit longblaasjes 	De longen bestaan uit longblaasjes	1.5199767705396607e-18
Om de longblaasjes lopen bloedvaatjes 	Om lopen de longblaasjes bloedvaatjes 	Om de longblaasjes lopen bloedvaatjes	3.782054440599708e-18
Maar het kan ook anders 	kan Maar het ook anders 	Maar het kan ook anders	1.491729367709839e-13
Hiv is een virus 	Hiv een is virus 	Hiv is een virus	1.251838136744155e-17
Daar verdubbelt hij zich telkens 	Daar hij verdubbelt zich telkens 	Daar hij zich telkens verdubbelt	1.4554669338446442e-18
Het virus wordt groter 	Het virus groter wordt 	Het virus wordt groter	2.2487015115787278e-15
Je lichaam heeft een immuunsysteem 	heeft Je lichaam een immuunsysteem 	Je lichaam heeft een immuunsysteem	4.130087657320207e-17
Zo moet dat dus kindertjes 	Zo dat moet dus kindertjes 	Zo moet dat dus kindertjes	3.3833759668418437e-19
Hoe zit dat eigenlijk 	zit Hoe dat eigenlijk 	Hoe zit dat eigenlijk	2.4009669893405495e-12
Helpt een keurmerk dan nog 	een keurmerk dan nog Helpt 	een keurmerk Helpt dan nog	9.083140435394023e-20
Hiertegen was veel tegenstand 	Hiertegen veel tegenstand was 	Hiertegen was veel tegenstand	4.7720134459273506e-18
Is dat iets voor jou 	dat iets voor Is jou 	dat Is iets voor jou	6.241851435264134e-15
Hiervoor moet je gestudeerd hebben 	moet hebben Hiervoor gestudeerd je 	Hiervoor moet je hebben gestudeerd	2.581575286786384e-18
De arm wordt dan gebogen 	De gebogen arm dan wordt 	De arm wordt dan gebogen	1.8598714122800062e-17
Dit principe heet antagonisme 	Dit principe antagonisme heet 	Dit principe heet antagonisme	1.3791423230205758e-17
De arm wordt dan gebogen 	De gebogen arm wordt dan 	De arm wordt dan gebogen	1.8598714122800062e-17
De triceps wordt hierdoor uitgerekt 	wordt De triceps uitgerekt hierdoor 	De triceps wordt hierdoor uitgerekt	1.3364925364357578e-17
De biceps wordt uitgerekt 	De wordt biceps uitgerekt 	De biceps wordt uitgerekt	1.0580324921873358e-13
Ik schreeuw het uit 	Ik het uit schreeuw 	Ik het uit schreeuw	1.5448069397628604e-18
Daarna kijk ik voorbij Caldicot 	kijk Daarna ik voorbij Caldicot 	Daarna kijk ik voorbij Caldicot	5.701637362064495e-22
Vluchtelingenjongeren vormen een kwetsbare groep 	Vluchtelingenjongeren een kwetsbare groep vormen 	Vluchtelingenjongeren vormen een kwetsbare groep	3.3356115983081522e-18
Asscher getuigde voor die commissie 	Asscher voor getuigde die commissie 	Asscher voor die getuigde commissie	1.5728301501121539e-18
Wat zijn de Algemene Voorwaarden 	zijn Wat de Algemene Voorwaarden 	Wat zijn de Algemene Voorwaarden	2.6308191128048786e-17
Een naadverbinding is stevig 	Een naadverbinding stevig is 	Een naadverbinding is stevig	4.5576432432529675e-14
Tussen de wervels zitten kraakbeenschijven 	Tussen zitten de wervels kraakbeenschijven 	Tussen de wervels zitten kraakbeenschijven	1.1861110121668974e-19
In het gewricht zit gewrichtssmeer 	zit In het gewricht gewrichtssmeer 	In het gewricht zit gewrichtssmeer	1.3622433325533048e-18
Behalve als je dement bent 	Behalve als je bent dement 	Behalve als je dement bent	3.249302928600613e-19
En hoe kan het wél 	En kan hoe het wél 	En hoe kan het wél	6.975216684507828e-15
Waarom is me een raadsel 	Waarom me is een raadsel 	Waarom is me een raadsel	1.0343817621201107e-17
Een eenvoudig antwoord is mi 	Een eenvoudig antwoord mi is 	Een eenvoudig antwoord is mi	5.175851239412686e-19
Verschillende ontwikkelingen kunnen onderwijsinnovaties bevorderen 	Verschillende bevorderen kunnen ontwikkelingen onderwijsinnovaties 	Verschillende bevorderen ontwikkelingen onderwijsinnovaties kunnen	4.6644875115629906e-24
Laat leerstof actief verwerken 	leerstof Laat verwerken actief 	leerstof Laat actief verwerken	1.9677407325740812e-22
Dit stond erin 	stond Dit erin 	Dit stond erin	1.0726037637232093e-12
En dat heb ik gedaan 	gedaan heb En dat ik 	En dat heb ik gedaan	1.9353482386966315e-12
Dit is dat briefje 	Dit dat briefje is 	Dit is dat briefje	1.7558589894769377e-14
Ze las het en zuchtte 	las Ze het zuchtte en 	Ze las het en zuchtte	5.013369319770159e-18
Het was weer zover 	Het weer was zover 	Het was weer zover	3.751484183954718e-13
Was alles in orde 	alles in orde Was 	alles Was in orde	4.8438759084491406e-15
Niets wat opviel 	Niets opviel wat 	Niets opviel wat	5.893244076986191e-15
Dat was het belangrijkste 	Dat het belangrijkste was 	Dat was het belangrijkste	1.399471241127299e-10
In het bloedplasma zitten plasmaeiwitten 	In zitten het bloedplasma plasmaeiwitten 	In het bloedplasma zitten plasmaeiwitten	1.740445866626463e-16
Rode bloedcellen hebben geen kern 	Rode hebben bloedcellen geen kern 	Rode bloedcellen hebben geen kern	3.7684985770980495e-23
Bloed bevat ook kleurloze bloedcellen 	bevat Bloed ook kleurloze bloedcellen 	Bloed bevat ook kleurloze bloedcellen	1.0243984481357677e-22
Bloed blijft onophoudelijk circuleren rondgaan 	Bloed onophoudelijk circuleren blijft rondgaan 	Bloed blijft onophoudelijk rondgaan circuleren	1.4677572633304017e-27
De egel bleef staan 	staan De egel bleef 	De egel bleef staan	1.173764394049396e-14
Laten we terug gaan 	we terug gaan Laten 	Laten we terug gaan	1.3523716534849628e-14
Ze loopt weer terug 	loopt Ze weer terug 	Ze loopt weer terug	1.609966888842987e-13
Ze komt wel hierheen 	Ze wel hierheen komt 	Ze komt wel hierheen	1.954529028314228e-14
Zou ze iets zoeken 	ze iets zoeken Zou 	ze Zou iets zoeken	7.796560626971416e-16
Misschien is het net opgekomen 	opgekomen Misschien het is net 	Misschien is het net opgekomen	4.580439576391006e-18
Hoe kon dit gebeuren 	Hoe gebeuren dit kon 	Hoe dit kon gebeuren	1.5099211450343967e-14
Deze hokjes noemde hij cellen 	Deze hokjes hij cellen noemde 	Deze hokjes noemde hij cellen	1.242448212814652e-21
Dat is meestal DNA 	is Dat meestal DNA 	Dat is meestal DNA	2.4451319299093735e-16
De meeste cellen bezitten organellen 	De meeste organellen cellen bezitten 	De meeste organellen bezitten cellen	1.6238958706102594e-18
De celkern bestaat uit kernplasma 	bestaat De celkern uit kernplasma 	De celkern bestaat uit kernplasma	2.4195142501544866e-18
Brandstoffen leveren energie 	Brandstoffen energie leveren 	Brandstoffen energie leveren	2.3276184637359857e-18
Eiwitten zijn geen reservestof 	zijn Eiwitten geen reservestof 	zijn Eiwitten geen reservestof	4.511908176516256e-18
De brandweer kent verschillende rangen 	De brandweer verschillende rangen kent 	De brandweer kent verschillende rangen	1.534715063695472e-19
Het wordt daardoor heel spannend 	Het daardoor heel spannend wordt 	Het wordt daardoor heel spannend	7.690912559570506e-15
Het broeikaseffect kennen we allemaal 	kennen Het broeikaseffect we allemaal 	Het broeikaseffect kennen we allemaal	3.8059933264110404e-18
Hoe zat het ook alweer 	Hoe het ook zat alweer 	Hoe zat het ook alweer	2.2664350393904274e-13
Wij betalen uw vaste lasten 	Wij uw vaste lasten betalen 	Wij betalen uw vaste lasten	2.952949785521908e-20
Alle organismen bestaan uit cellen 	Alle organismen uit bestaan cellen 	Alle cellen organismen uit bestaan	2.1005523005596426e-23
Een voorbeeld is het pantoffeldiertje 	is Een voorbeeld het pantoffeldiertje 	Een voorbeeld is het pantoffeldiertje	3.1114505316969503e-15
Er zijn veel verschillende weefsels 	Er veel zijn verschillende weefsels 	Er zijn veel verschillende weefsels	2.157542335241981e-18
Een voorbeeld zijn de bloedcellen 	Een voorbeeld de zijn bloedcellen 	Een voorbeeld de zijn bloedcellen	8.1144188837586e-21
Elke cel is weer anders 	Elke is cel weer anders 	Elke cel is weer anders	5.476055226460913e-18
Botcellen zorgen voor stevigheid 	Botcellen voor zorgen stevigheid 	Botcellen voor zorgen stevigheid	3.951083719817557e-18
Bacteriën hebben een los chromosoom 	Bacteriën een los chromosoom hebben 	Bacteriën hebben een los chromosoom	1.0527122567550556e-23
Celwanden zorgen voor stevigheid 	Celwanden voor stevigheid zorgen 	zorgen Celwanden voor stevigheid	6.299415333728726e-20
De celkern bestaat uit kernplasma 	bestaat De celkern uit kernplasma 	De celkern bestaat uit kernplasma	2.4195142501544866e-18
Hij was natuurwetenschapper 	Hij natuurwetenschapper was 	Hij was natuurwetenschapper	1.0186633831702363e-09
Ook bestudeerde hij veel dieren 	bestudeerde Ook hij veel dieren 	Ook hij bestudeerde veel dieren	1.197234996848538e-19
Waar moet ik beginnen 	beginnen Waar moet ik 	Waar moet ik beginnen	4.0699124515565747e-13
Het is niet eerlijk 	Het niet is eerlijk 	Het is niet eerlijk	1.6264015694545945e-11
Meneer Gersteman bleef staan 	staan bleef Meneer Gersteman 	Meneer Gersteman bleef staan	2.524822501191644e-19
Dat maakt haar een burgerjournalist 	Dat haar een burgerjournalist maakt 	Dat maakt haar een burgerjournalist	1.504474237377341e-16
Het christendom veranderde 	veranderde Het christendom 	Het veranderde christendom	1.3116183771387413e-14
Doe precies hetzelfde terug 	precies hetzelfde Doe terug 	Doe precies hetzelfde terug	1.2694056949925005e-17
Om van elkaar te leren 	Om van elkaar leren te 	Om van elkaar te leren	1.5242048660411208e-15
Blauwalgenprotocol 2020 is een update 	is Blauwalgenprotocol 2020 een update 	is Blauwalgenprotocol 2020 een update	2.1112066127113108e-19
Blauwalgen kunnen soms giftig zijn 	Blauwalgen soms giftig kunnen zijn 	zijn Blauwalgen kunnen soms giftig	2.5461486715775205e-18
Het eticket is persoonsgebonden 	Het is eticket persoonsgebonden 	Het is eticket persoonsgebonden	1.5870468251944138e-15
Je krijgt een thermometer 	krijgt Je een thermometer 	Je krijgt een thermometer	1.998216772348335e-12
Mensen rekken hun halzen 	rekken Mensen hun halzen 	Mensen rekken hun halzen	5.5069782493119774e-17
Waar moet het om lachen 	Waar het moet om lachen 	Waar moet het om lachen	1.8300963776550397e-15
Van welke muziek houdt het 	Van welke muziek het houdt 	Van welke muziek houdt het	2.1491361758674053e-17
Het is 2020 	is Het 2020 	Het is 2020	2.0481276239330346e-13
Wat zijn wilde bijen 	zijn Wat wilde bijen 	Wat wilde zijn bijen	4.836926427625311e-15
Een taart bakken 	bakken Een taart 	Een taart bakken	1.4430696877402864e-14
De heks zuchtte 	De zuchtte heks 	De zuchtte heks	3.329185228696678e-13
Ze verveelde zich 	Ze zich verveelde 	Ze verveelde zich	5.849502803071491e-13
Maar wat was dat 	Maar was wat dat 	Maar wat was dat	8.74408740647259e-10
Dat is waar ook 	Dat waar ook is 	Dat waar ook is	5.822121003551414e-13
Dat had ik goed opgeborgen 	had Dat ik goed opgeborgen 	Dat ik goed opgeborgen had	5.03952076232464e-16
Bleek gleed hij naar beneden 	Bleek hij naar gleed beneden 	hij Bleek naar beneden gleed	5.1205393082617474e-21
Je had me niet gehoord 	Je gehoord me niet had 	Je had me niet gehoord	1.6967348285562956e-16
De egel stond stil 	stond De egel stil 	De egel stond stil	3.5543391154745783e-14
Hij keek langs het heuveltje 	keek Hij langs het heuveltje 	Hij keek langs het heuveltje	3.3884543240744414e-19
Wat doe je 	doe Wat je 	Wat doe je	8.185411449909388e-10
Wie doet dat nou 	doet Wie dat nou 	Wie doet dat nou	9.626481007789402e-12
Het strand was vrijwel verlaten 	was Het verlaten strand vrijwel 	Het strand was vrijwel verlaten	2.8549742932961155e-19
Wonderen gebeuren altijd onverwacht 	Wonderen altijd onverwacht gebeuren 	Wonderen altijd onverwacht gebeuren	1.3407698282824923e-20
Het is prachtig 	Het prachtig is 	Het is prachtig	2.549364601161958e-10
De oorlog veranderde Europa voorgoed 	De oorlog Europa veranderde voorgoed 	De oorlog veranderde Europa voorgoed	1.1560269481280348e-20
Dat gebeurde in 1914 	Dat in gebeurde 1914 	Dat gebeurde in 1914	5.650737933063917e-13
OostenrijkHongarije verklaarde Servië de oorlog 	OostenrijkHongarije Servië de oorlog verklaarde 	OostenrijkHongarije verklaarde Servië de oorlog	8.718519772358047e-22
Welke landen vochten samen 	Welke landen samen vochten 	Welke landen vochten samen	3.977613746282061e-17
Zij waren de centralen 	waren Zij de centralen 	Zij waren de centralen	1.8365913129682575e-11
Zij waren de geallieerden 	Zij de waren geallieerden 	Zij waren de geallieerden	3.681111937076544e-13
Deze familie heeft veertien familieleden 	Deze familie veertien heeft familieleden 	Deze familie heeft veertien familieleden	3.202190990108454e-20
Ik zeg pastinaak 	Ik pastinaak zeg 	Ik zeg pastinaak	6.878891068073961e-13
Het rumoer is vlakbij 	Het is rumoer vlakbij 	Het rumoer is vlakbij	3.4392456909107287e-17
Sandrine blijft nieuwsgierig kijken 	Sandrine blijft kijken nieuwsgierig 	Sandrine blijft nieuwsgierig kijken	1.3979432944845142e-20
Sandrine trekt haar hoofd terug 	Sandrine haar hoofd trekt terug 	Sandrine trekt haar hoofd terug	7.962913066492558e-22
Je hoort vreemde verhalen tegenwoordig 	Je vreemde verhalen tegenwoordig hoort 	Je hoort vreemde verhalen tegenwoordig	1.0267994261616124e-22
Dat doe ik niet 	Dat ik niet doe 	Dat doe ik niet	9.087458475049536e-12
Cesar begrijpt het niet 	begrijpt Cesar het niet 	Cesar begrijpt het niet	7.959477382600032e-19
In Amsterdam is veel handel 	In Amsterdam veel handel is 	In Amsterdam is veel handel	8.945252297075613e-17
Je spreekt van mechanische bescherming 	Je van spreekt mechanische bescherming 	Je spreekt van mechanische bescherming	1.0429117865186423e-20
Het was geen bijzondere stoel 	Het geen was bijzondere stoel 	Het was geen bijzondere stoel	5.135574814957076e-16
Wij kweken draken 	kweken draken Wij 	kweken draken Wij	1.175955211047481e-14
Diamanten ogen schitteren 	schitteren Diamanten ogen 	Diamanten ogen schitteren	3.3617223723149176e-19
Klauwen grijpen zich vast 	Klauwen zich grijpen vast 	grijpen Klauwen zich vast	5.0463658428400453e-20
Vonken knetteren 	knetteren Vonken 	Vonken knetteren	7.816041790938925e-14
Niemand weet het 	weet Niemand het 	Niemand weet het	2.0626159243475282e-11
Natuurlijk wil je dat 	Natuurlijk je dat wil 	Natuurlijk je wil dat	1.96190193885301e-14
Hierop stond Kleiverveien 	Hierop Kleiverveien stond 	Hierop stond Kleiverveien	7.656651238145072e-15
Ginder heette hij 	heette Ginder hij 	Ginder heette hij	1.5031577608605376e-15
Grootmoeder was een bijzondere vrouw 	Grootmoeder een was bijzondere vrouw 	Grootmoeder was een bijzondere vrouw	2.638625730758401e-19
Ravi stond aan de vloedlijn 	Ravi aan de vloedlijn stond 	Ravi aan stond de vloedlijn	7.698415595287131e-22
Het werd zomer 	werd Het zomer 	Het zomer werd	4.140197497958984e-12
Was het een gevoel 	het een Was gevoel 	Was het een gevoel	2.5839552013958167e-14
Dit zijn de stafleden 	Dit de stafleden zijn 	Dit zijn de stafleden	3.7828614359467675e-14
Deze klus is succesvol afgerond 	afgerond is Deze klus succesvol 	Deze klus is succesvol afgerond	1.458175748116467e-20
Een zondaar zeiden de priesters 	zeiden Een zondaar de priesters 	Een zondaar zeiden de priesters	2.750785055852777e-21
Een egoïst zeiden de boekhouders 	Een egoïst de boekhouders zeiden 	Een egoïst zeiden de boekhouders	2.2120609199881627e-16
Er valt een stilte 	Er een stilte valt 	Er valt een stilte	3.948399004017881e-15
Heb je hem al opengemaakt 	opengemaakt je hem Heb al 	Heb je hem al opengemaakt	4.572374082990518e-19
De uitvoerders werken zeer zelfstandig 	werken De uitvoerders zeer zelfstandig 	De uitvoerders werken zeer zelfstandig	1.0433011958260901e-20
De gezagslijnen zijn zwak 	De zijn gezagslijnen zwak 	De zijn gezagslijnen zwak	4.4354995859856793e-16
Alles behoort tot ieders taak 	Alles tot ieders behoort taak 	Alles behoort tot ieders taak	2.424197910546875e-20
Hoeveel dingen mag je kiezen 	kiezen Hoeveel dingen je mag 	Hoeveel dingen mag je kiezen	1.2002283913256175e-17
Waar kun je iets doen 	kun doen Waar je iets 	Waar kun je iets doen	3.867683844412518e-14
Maarschalk Pétain werd staatshoofd 	werd Maarschalk Pétain staatshoofd 	Maarschalk Pétain werd staatshoofd	2.507923644622861e-22
Er wordt iemand beroofd 	Er iemand beroofd wordt 	Er wordt iemand beroofd	1.0106899326553465e-15
Hij is helemaal van streek 	Hij helemaal is van streek 	Hij is helemaal van streek	1.093282449691264e-14
Domper ging zitten 	zitten ging Domper 	Domper ging zitten	1.2882381188977312e-16
Morgen wordt wereldwijd pidag gevierd 	gevierd Morgen wordt wereldwijd pidag 	Morgen wordt wereldwijd pidag gevierd	1.828921448755071e-22
Dat wist hij zeker 	Dat hij wist zeker 	Dat wist hij zeker	5.12736067384845e-14
We zijn met duizenden 	We met duizenden zijn 	We met zijn duizenden	4.312519696756626e-14
Dat is makkelijker 	is Dat makkelijker 	Dat is makkelijker	1.267939945630335e-10
Dat ben ik 	ben Dat ik 	Dat ben ik	1.2907416442995931e-09
Wat is COPD 	Wat COPD is 	Wat is COPD	5.021076600820215e-12
Hoe werken mijn longen 	werken Hoe mijn longen 	Hoe werken mijn longen	1.780143876140856e-16
U heeft twee longen 	U twee heeft longen 	U heeft twee longen	2.2756697477245605e-15
Zo krijgt het bloed zuurstof 	krijgt Zo het bloed zuurstof 	Zo krijgt het bloed zuurstof	9.324154294871332e-21
Dit slijmvlies geeft bescherming 	Dit slijmvlies bescherming geeft 	Dit slijmvlies geeft bescherming	3.655595617499193e-20
Wat is COPD 	Wat COPD is 	Wat is COPD	5.021076600820215e-12
COPD is een longziekte 	COPD een longziekte is 	COPD is een longziekte	2.5604619324157116e-17
U wordt snel benauwd 	U snel benauwd wordt 	U wordt snel benauwd	1.484052504741682e-14
Denk maar eens aan gras 	maar Denk eens aan gras 	Denk maar eens aan gras	5.398817612062151e-20
Rijke burgers wilden politieke inspraak 	Rijke wilden burgers politieke inspraak 	Rijke wilden burgers politieke inspraak	6.978340626766263e-29
Denemarken is een monarchie 	Denemarken een monarchie is 	Denemarken is een monarchie	2.3373841501201484e-14
Denemarken is een democratie 	Denemarken een democratie is 	Denemarken is een democratie	1.1374135205415713e-14
Zo werkt het niet helaas 	Zo het niet werkt helaas 	Zo werkt het niet helaas	3.499284376573158e-18
Hoe werkt het 	Hoe het werkt 	Hoe werkt het	2.687483846915918e-10
Overleg is nu noodzakelijk 	is Overleg nu noodzakelijk 	Overleg is nu noodzakelijk	8.294047949290517e-17
Wat is determineren 	determineren is Wat 	Wat is determineren	5.4626110263094885e-09
Klassen zijn onderverdeeld in orden 	Klassen onderverdeeld in orden zijn 	Klassen onderverdeeld in zijn orden	7.037941384160726e-18
Hoe kun je determineren 	determineren kun Hoe je 	Hoe kun je determineren	3.5934046730758174e-12
Je kijkt 3 uur tv 	Je 3 uur kijkt tv 	Je kijkt 3 uur tv	7.78631725179692e-21
Rennen maar 	maar Rennen 	maar Rennen	1.7665254150060618e-10
Dat zijn onze kernwaarden 	zijn Dat onze kernwaarden 	Dat zijn onze kernwaarden	1.4406950664207937e-15
Gaat decentraal internet verdwijnen 	verdwijnen decentraal Gaat internet 	decentraal internet Gaat verdwijnen	6.680451124496416e-21
En dáár is iets mee 	En is dáár iets mee 	En dáár is iets mee	2.6832640208231763e-17
De oppervlakte bedraagt 14 km2 	De oppervlakte 14 bedraagt km2 	De oppervlakte bedraagt 14 km2	3.821433671944806e-18
Bart the floor is yours 	Bart the is floor yours 	Bart the is floor yours	4.515931041047895e-21
Wachten om onderwezen te worden 	om onderwezen worden te Wachten 	worden om onderwezen te Wachten	1.016924897797746e-17
De dodo kon niet vliegen 	vliegen kon De dodo niet 	De dodo kon niet vliegen	1.2115757732654722e-17
Die aten veel dodoeieren 	aten Die veel dodoeieren 	Die aten veel dodoeieren	5.635089182362251e-16
En wordt er gereorganiseerd 	wordt En gereorganiseerd er 	En er wordt gereorganiseerd	4.471244515611587e-16
Filosoferen brengt ons in verwarring 	Filosoferen ons in verwarring brengt 	Filosoferen brengt ons in verwarring	1.0186750352479499e-22
Laten we mens zijn 	we Laten mens zijn 	Laten we mens zijn	2.8331192989584104e-15
En dat is een record 	En dat een is record 	En dat is een record	4.004947454087424e-13
Duitsland heeft een lange geschiedenis 	Duitsland een heeft lange geschiedenis 	Duitsland heeft een lange geschiedenis	3.224688764367301e-14
Later kwam de huidige mens 	Later de huidige mens kwam 	Later kwam de huidige mens	3.88670636977308e-18
Hiervoor biedt DMARC de oplossing 	Hiervoor DMARC de biedt oplossing 	Hiervoor biedt DMARC de oplossing	1.821574960465503e-22
Hieronder zijn deze toegelicht 	toegelicht zijn Hieronder deze 	Hieronder zijn deze toegelicht	4.875008976345662e-19
Daarnaast werktie eleganter 	Daarnaast eleganter werktie 	Daarnaast eleganter werktie	9.691330156400506e-13
De man is erg geschrokken 	is geschrokken De man erg 	De man is erg geschrokken	2.869190666043578e-16
Een paar jongens lachen 	Een lachen paar jongens 	Een paar jongens lachen	9.876369698350354e-18
Dan ineens is het weg 	Dan is ineens het weg 	Dan is ineens het weg	1.64582418863099e-17
Het vult mijn oren 	vult Het mijn oren 	Het vult mijn oren	3.9546210396853317e-17
Ik word liever Addie genoemd 	genoemd word Ik liever Addie 	Ik word liever Addie genoemd	1.569846124711942e-20
Je bent toch geen kleuter 	bent Je toch geen kleuter 	Je bent toch geen kleuter	2.3502519865489575e-18
Ja ik denk het wel 	Ja denk ik het wel 	Ja ik denk het wel	5.4637420888725576e-14
Informatie was macht 	was Informatie macht 	Informatie was macht	4.507234391255123e-16
Klikken was ingebakken 	ingebakken was Klikken 	ingebakken was Klikken	2.7535516618244593e-16
Hij zou voorzichtig zijn 	zijn Hij zou voorzichtig 	Hij zou voorzichtig zijn	6.5501983990523596e-12
Hij zou nauwgezet zijn 	Hij zijn zou nauwgezet 	Hij zou nauwgezet zijn	1.3938868869778233e-14
Keuken Kampioen Divisie gespeeld 	Keuken gespeeld Kampioen Divisie 	Keuken gespeeld Kampioen Divisie	2.6291317313408116e-24
Er deden 20 teams mee 	Er 20 teams mee deden 	Er deden 20 teams mee	3.5657294526649023e-19
Let wel op de houdbaarheidsdatum 	wel op Let de houdbaarheidsdatum 	wel Let op de houdbaarheidsdatum	2.3064760787218794e-18
Enzymen zijn kwetsbaar 	Enzymen kwetsbaar zijn 	Enzymen zijn kwetsbaar	5.5155082574552e-16
Voorkennis activeren 	activeren Voorkennis 	activeren Voorkennis	2.1186340385695338e-14
Gebruik feedback bijvoorbeeld gesproken feedback 	Gebruik feedback bijvoorbeeld feedback gesproken 	Gebruik gesproken feedback bijvoorbeeld feedback	9.932100317197125e-29
Afgelopen zaterdag begon het schaaktoernooi 	zaterdag begon Afgelopen het schaaktoernooi 	Afgelopen zaterdag begon het schaaktoernooi	2.8055832178027896e-19
Wat vind jij van schaken 	vind Wat schaken jij van 	Wat vind jij van schaken	1.996921571224057e-17
Dat zijn de combicentrales 	Dat de zijn combicentrales 	Dat de zijn combicentrales	5.340594363802095e-15
Die staat in Borssele 	staat Die in Borssele 	Die staat in Borssele	8.794137135806167e-15
