correct	VR	corrected	prob
Er komt een landelijke kortebroekendag 	Er een komt landelijke kortebroekendag 	Er komt een landelijke kortebroekendag	2.1473729772125508e-16
Genen zitten op DNAdraden 	zitten Genen op DNAdraden 	Genen op DNAdraden zitten	2.4435381008539906e-17
Alles wat leeft heeft DNA 	heeft Alles wat DNA leeft 	Alles heeft wat leeft DNA	1.6570501156258782e-20
Iedereen heeft een uniek DNA 	Iedereen een uniek heeft DNA 	Iedereen heeft een uniek DNA	1.5932604605597274e-19
Wat zijn erfelijke eigenschappen 	Wat erfelijke zijn eigenschappen 	Wat erfelijke zijn eigenschappen	1.9660247454394852e-20
Je kunt ook karaktereigenschappen erven 	Je ook karaktereigenschappen erven kunt 	Je kunt ook karaktereigenschappen erven	3.4800627411663045e-17
Dat komt door erfelijkheid 	Dat door erfelijkheid komt 	Dat komt door erfelijkheid	4.070645701666388e-17
Die stukjes heten genen 	Die heten stukjes genen 	Die stukjes heten genen	5.8670921810576456e-21
Samen vormen ze de DNAcode 	vormen Samen ze de DNAcode 	Samen vormen ze de DNAcode	5.568879573757063e-19
Het erfpachtrecht eindigt dan niet 	Het eindigt erfpachtrecht dan niet 	Het erfpachtrecht eindigt dan niet	6.571234661681465e-17
Hij verwacht daar aanzienlijke verstoringen 	Hij daar aanzienlijke verstoringen verwacht 	Hij verwacht daar aanzienlijke verstoringen	8.718768556672286e-21
Deze soorten zijn uitgestorven 	zijn Deze uitgestorven soorten 	Deze soorten zijn uitgestorven	1.3367964173587422e-16
Er is variatie 	Er variatie is 	Er is variatie	1.801038896043597e-13
Ieder mens is verschillend 	Ieder is mens verschillend 	Ieder mens is verschillend	5.3578340923946195e-17
Meer mensen krijgen corona 	Meer mensen corona krijgen 	Meer mensen krijgen corona	2.5814394606866183e-18
Misschien heb je corona gehad 	gehad Misschien je heb corona 	Misschien heb je corona gehad	4.072878602442282e-19
Een introductie is niet nodig 	Een introductie niet nodig is 	Een introductie is niet nodig	1.3427078798267205e-15
Hij is beroemder dan beroemd 	Hij beroemder dan beroemd is 	Hij is beroemder dan beroemd	1.0214836516075994e-15
En hij is híér 	is En hij híér 	En is hij híér	1.5045145831222344e-14
Eve kijkt afwachtend toe 	afwachtend Eve kijkt toe 	Eve kijkt afwachtend toe	1.6334188954405968e-18
Ze voelt even teleurstelling 	Ze even teleurstelling voelt 	Ze voelt even teleurstelling	7.201145575955398e-18
Zulke teksten heten zakelijke teksten 	Zulke teksten zakelijke heten teksten 	Zulke teksten zakelijke heten teksten	1.8585688952788144e-28
Zo herken je fictie 	Zo je herken fictie 	Zo herken je fictie	1.0041691805817471e-19
Beoordelen doe je met beoordelingswoorden 	je Beoordelen doe met beoordelingswoorden 	je doe Beoordelen met beoordelingswoorden	2.0090708370696951e-16
Dit hoeft niet altijd 	Dit niet altijd hoeft 	Dit hoeft niet altijd	1.210284875577714e-13
Wat ís dit 	Wat dit ís 	Wat ís dit	8.71791229153858e-12
Ze werd niet teleurgesteld 	teleurgesteld Ze niet werd 	Ze werd niet teleurgesteld	2.2733046370202337e-13
Ailes was de ultieme klootzak 	Ailes de ultieme was klootzak 	Ailes was de ultieme klootzak	1.3554733671876487e-20
Zo onthouden mensen het 	Zo mensen het onthouden 	Zo mensen het onthouden	2.3355655485071056e-18
Dat móet wel scheef zitten 	móet zitten Dat wel scheef 	móet zitten Dat wel scheef	7.226162256178493e-20
Hoe vertellen mensen hun levensverhaal 	vertellen Hoe mensen hun levensverhaal 	Hoe vertellen mensen hun levensverhaal	2.909381254801732e-19
Lara kijkt woedend toe 	kijkt Lara woedend toe 	kijkt Lara woedend toe	9.615100159771461e-20
Ze wordt door niemand beschermd 	Ze door beschermd niemand wordt 	Ze wordt beschermd door niemand	4.761082682756677e-17
Marlina is al jong weduwe 	Marlina al jong weduwe is 	Marlina is al jong weduwe	5.182659398173761e-22
Marlina maakt soto ayam 	Marlina soto ayam maakt 	Marlina soto maakt ayam	2.4923759726047552e-20
Gelukkig heeft ze gifbessen 	heeft gifbessen Gelukkig ze 	Gelukkig heeft ze gifbessen	1.801978668914727e-14
Alles went helaas 	Alles helaas went 	Alles went helaas	1.884014967530064e-16
Maar wees gerust 	wees Maar gerust 	Maar wees gerust	2.4109550636798402e-15
Dat kennen we ergens van 	Dat we kennen ergens van 	Dat kennen we ergens van	3.956913884961461e-18
Dat is eigenlijk niet zo 	Dat eigenlijk is niet zo 	Dat is eigenlijk niet zo	6.267447311019277e-13
De details dringen beter door 	De dringen details beter door 	De details dringen beter door	5.2893435989445466e-20
Javier Bardem ontbreken 	ontbreken Javier Bardem 	ontbreken Javier Bardem	3.510501561569234e-17
The Beatles zijn overschat 	overschat The zijn Beatles 	The Beatles zijn overschat	8.201313036335398e-19
Iedereen betaalt daaraan mee 	Iedereen daaraan betaalt mee 	Iedereen betaalt daaraan mee	7.89842732310897e-16
Gemeenten zijn daar verantwoordelijk voor 	Gemeenten daar verantwoordelijk voor zijn 	Gemeenten daar verantwoordelijk voor zijn	5.593991783787705e-19
Dat is niet zomaar logisch 	Dat niet zomaar is logisch 	Dat is niet zomaar logisch	1.6546988196617562e-15
Zij leven niet steeds langer 	Zij niet steeds leven langer 	Zij leven niet steeds langer	1.0530325468433895e-16
Zelfstandigheid vereist immers zelfredzaamheid 	vereist Zelfstandigheid immers zelfredzaamheid 	Zelfstandigheid vereist immers zelfredzaamheid	5.649746462985909e-24
Dat duurde wel tienduizenden jaren 	Dat wel tienduizenden jaren duurde 	Dat duurde wel tienduizenden jaren	3.033922043326271e-19
Glucose is een soort suiker 	Glucose een soort suiker is 	Glucose is een soort suiker	1.767093162836785e-20
Ze bevatten ook bladgroenkorrels 	Ze ook bevatten bladgroenkorrels 	Ze bevatten ook bladgroenkorrels	4.558252362194462e-16
Die is van de directeur 	Die van de directeur is 	Die is van de directeur	1.8023477216772605e-13
Een gloeilamp wordt behoorlijk heet 	Een wordt heet gloeilamp behoorlijk 	Een gloeilamp wordt behoorlijk heet	3.018718596929988e-20
Maar dat klopt niet 	klopt Maar dat niet 	Maar dat klopt niet	2.6736939662451335e-11
Werkwijze Snij de aardappel doormidden 	Werkwijze Snij doormidden de aardappel 	Werkwijze Snij de aardappel doormidden	6.71149037232962e-24
Oerbossen zijn dus stukken wildernis 	Oerbossen dus stukken zijn wildernis 	Oerbossen dus stukken zijn wildernis	3.696644176885844e-23
En bomen zoals de draaiden 	En draaiden bomen zoals de 	En bomen zoals de draaiden	7.434589345917511e-21
Zo wordt het ecosysteem aangetast 	Zo aangetast het wordt ecosysteem 	Zo wordt het ecosysteem aangetast	3.7028402105781133e-19
Veel burgers zijn ook boseigenaar 	zijn Veel burgers ook boseigenaar 	Veel burgers zijn ook boseigenaar	1.0117032463280347e-16
Er is geen brand 	Er geen brand is 	Er is geen brand	2.5882876207036405e-13
Het zijn maar schoorstenen 	Het maar schoorstenen zijn 	Het zijn maar schoorstenen	2.894132497459233e-15
Rokende versteende suikerbroden 	Rokende suikerbroden versteende 	versteende Rokende suikerbroden	1.0169378292622076e-13
Toch vervliegt de rook 	Toch de vervliegt rook 	Toch vervliegt de rook	2.878495195207937e-16
Er zijn spatschermen 	zijn Er spatschermen 	Er zijn spatschermen	1.3651170861669464e-10
Wat hebben we daarvan geleerd 	hebben Wat we geleerd daarvan 	Wat hebben we daarvan geleerd	5.77205386822791e-17
Vervolgens kwam er meer ruimte 	Vervolgens er meer kwam ruimte 	Vervolgens kwam er meer ruimte	2.3246851665403254e-18
Alles ging op 	ging Alles op 	Alles ging op	1.9909799080251783e-12
Daarom moeten ze worden ingespoten 	Daarom worden ingespoten ze moeten 	Daarom moeten ze worden ingespoten	3.3161501623714884e-18
De botten zijn van been 	De botten van been zijn 	De botten van zijn been	3.299345139461824e-15
Kraakbeen is soepeler 	Kraakbeen soepeler is 	is Kraakbeen soepeler	2.4613081825410425e-16
In je oorschelp zit kraakbeen 	In je zit oorschelp kraakbeen 	In je oorschelp zit kraakbeen	7.16453435502257e-21
Je oorschelp kun je dubbelvouwen 	dubbelvouwen Je oorschelp je kun 	Je kun je oorschelp dubbelvouwen	1.5012166000177243e-16
Wist je dat 	je Wist dat 	je Wist dat	1.1140995018614736e-11
Dat deed ze zelden 	deed Dat ze zelden 	Dat deed ze zelden	7.02728082770803e-15
Er klonk niet eens muziek 	klonk Er niet eens muziek 	Er klonk niet eens muziek	1.2449704319041025e-19
Dan gelden de volgende regels 	volgende Dan de gelden regels 	Dan de volgende gelden regels	8.657624765810635e-21
Ze voelen zich eindelijk gehoord 	Ze gehoord zich voelen eindelijk 	Ze voelen zich eindelijk gehoord	1.3164512909699668e-18
In fruit zitten weinig calorieën 	In zitten fruit weinig calorieën 	In fruit zitten weinig calorieën	8.399673405784356e-22
Het was een prachtige middag 	was Het een prachtige middag 	Het was een prachtige middag	3.916198570653294e-14
Dus gingen we op trollenjacht 	Dus we op trollenjacht gingen 	Dus we gingen op trollenjacht	4.908079338906136e-18
Tegenwoordig doen mee 	Tegenwoordig mee doen 	Tegenwoordig mee doen	2.2395781510093374e-12
Je kunt niet afspreken 	Je niet afspreken kunt 	Je kunt niet afspreken	2.5629166281010028e-14
Maar wat is het eigenlijk 	Maar is wat het eigenlijk 	Maar wat is het eigenlijk	2.4668021097158045e-12
Elk mens is anders 	Elk mens anders is 	Elk mens is anders	3.7364433643192543e-16
Bent u dat daar beneden 	u dat daar Bent beneden 	Bent u dat daar beneden	3.922629949632681e-17
Er valt een stilte 	Er een valt stilte 	Er valt een stilte	3.948399004017881e-15
Isoleert u een woning 	u Isoleert een woning 	u Isoleert een woning	4.0503062311515426e-16
Belangrijker zijn de droombollen 	Belangrijker de droombollen zijn 	Belangrijker zijn de droombollen	1.0899699427094673e-14
Goed zoeken dus 	zoeken Goed dus 	Goed zoeken dus	5.982517227472445e-16
Met tegenvallende resultaten als gevolg 	Met resultaten tegenvallende als gevolg 	Met tegenvallende resultaten als gevolg	7.193602338349498e-21
Dat nummer leveren wij dus 	Dat nummer wij leveren dus 	Dat nummer leveren wij dus	3.304363544233087e-19
Wat houdt het precies in 	houdt Wat het precies in 	Wat houdt het precies in	4.1000776240598143e-16
De Engelstalige uitdrukking is Hearables 	is De Engelstalige uitdrukking Hearables 	De Engelstalige uitdrukking is Hearables	8.282266845910217e-20
Frederik hoort er niets van 	hoort Frederik er niets van 	Frederik hoort er niets van	1.8582880015165238e-17
Het is een schrijfoefening 	Het een schrijfoefening is 	Het is een schrijfoefening	1.5158857111842072e-09
Wat er staat 	Wat staat er 	Wat staat er	5.216671715254979e-10
Juniper was anders dan wij 	Juniper anders dan wij was 	Juniper was anders dan wij	5.761824456390465e-17
De kassa rinkelde niet vaak 	De kassa niet vaak rinkelde 	De kassa rinkelde niet vaak	3.170280939962683e-17
Het was een zonnige zaterdag 	was Het een zonnige zaterdag 	Het was een zonnige zaterdag	5.559057532455626e-17
Elsie had een schoenveter verkocht 	Elsie had verkocht een schoenveter 	Elsie had een schoenveter verkocht	1.625991189404448e-19
A is voor Alfabetopdracht 	A voor is Alfabetopdracht 	A is voor Alfabetopdracht	2.2449027638160155e-16
Ik ben er opgewonden van 	Ik er opgewonden ben van 	Ik ben er opgewonden van	5.33288498386063e-15
Dit klopt niet opnieuw 	Dit niet klopt opnieuw 	Dit klopt niet opnieuw	1.7766624987463115e-14
En niet over te geven 	En niet geven over te 	En niet over te geven	4.636026113859706e-14
Dat was uit den boze 	Dat uit den boze was 	Dat was uit den boze	4.549639086967999e-21
Ze stelde zich gewoon aan 	Ze zich gewoon stelde aan 	Ze stelde zich gewoon aan	4.112312599711696e-15
Is deze eveneens redundant uitgevoerd 	uitgevoerd Is deze eveneens redundant 	deze Is eveneens redundant uitgevoerd	3.2810424258284176e-21
Welke rollen vervullen lerarenopleiders 	Welke vervullen rollen lerarenopleiders 	Welke rollen vervullen lerarenopleiders	1.3095519490308352e-19
Hoe ontwikkelen zij zich 	ontwikkelen Hoe zij zich 	Hoe ontwikkelen zij zich	8.066853026092717e-15
Zo groeide hij op 	Zo hij op groeide 	Zo groeide hij op	8.511921275449477e-15
Zijn werk is miljoenen waard 	Zijn werk miljoenen waard is 	Zijn werk is miljoenen waard	8.49589606113618e-19
Wat is zijn geheim 	Wat zijn is geheim 	Wat is zijn geheim	6.520403555365205e-13
Dat lijkt hem wel wat 	Dat hem wel wat lijkt 	Dat lijkt hem wel wat	1.0083014690549342e-15
Rembrandt maakt veel portretten 	Rembrandt veel maakt portretten 	Rembrandt maakt veel portretten	7.817646426845175e-19
Hij onderzoekt veel 	Hij veel onderzoekt 	Hij onderzoekt veel	6.85451177145052e-13
Rembrandt kan het prachtig vastleggen 	kan Rembrandt het vastleggen prachtig 	Rembrandt kan het prachtig vastleggen	1.0923335231754997e-20
Kilian begreep er niets van 	Kilian er niets van begreep 	Kilian begreep er niets van	2.859855974339128e-17
De steden raakten echter ontvolkt 	raakten De steden echter ontvolkt 	De steden raakten echter ontvolkt	4.047508334242569e-18
De zee wordt dus hoger 	De wordt zee dus hoger 	De zee wordt dus hoger	2.1871269357410297e-16
Heb je een NSabonnement 	je een NSabonnement Heb 	je Heb een NSabonnement	6.97641903577499e-16
Wat gaat er veranderen 	veranderen gaat Wat er 	Wat er gaat veranderen	1.9583920817400326e-14
We studeerden allebei 	studeerden We allebei 	We allebei studeerden	2.915289344122362e-14
Zelfs pinautomaten bestonden nog niet 	bestonden Zelfs pinautomaten nog niet 	Zelfs pinautomaten nog niet bestonden	2.9263292365608906e-19
Dat is nu tien Euro 	Dat nu tien is Euro 	Dat is nu tien Euro	2.0330592928792722e-17
Maar papa roept hem terug 	roept Maar papa hem terug 	Maar papa roept hem terug	1.3217245018097442e-19
Dat weet hij niet 	Dat hij weet niet 	Dat weet hij niet	3.076932582270676e-11
Moet hij eerst kloppen 	hij Moet kloppen eerst 	Moet hij eerst kloppen	3.626164093146818e-17
Hij gluurt naar binnen 	Hij naar gluurt binnen 	Hij gluurt naar binnen	6.1861603413557875e-12
Hij ziet de nieuwe juf 	ziet Hij de nieuwe juf 	Hij ziet de nieuwe juf	1.7851501573619108e-16
Zo zegt ze 	Zo zegt ze 	Zo zegt ze	2.6655762912297657e-11
En wie ben jij 	En ben wie jij 	En wie ben jij	1.7846046479685003e-12
Er zijn drie soorten zenuwcellen 	Er drie soorten zenuwcellen zijn 	Er zijn drie soorten zenuwcellen	4.703739084391217e-20
Zenuwcellen zijn zeer bijzondere cellen 	Zenuwcellen zeer bijzondere cellen zijn 	Zenuwcellen zijn zeer bijzondere cellen	1.15264236817442e-22
Zenuwcellen kunnen heel lang zijn 	Zenuwcellen heel zijn lang kunnen 	Zenuwcellen kunnen heel lang zijn	4.349830870010226e-17
Er zijn drie soorten zenuwen 	zijn Er drie soorten zenuwen 	Er zijn drie soorten zenuwen	4.703731254607165e-20
Niemand voortrekken 	voortrekken Niemand 	Niemand voortrekken	3.5903558026014834e-10
Wacht even 	even Wacht 	Wacht even	2.1653356813750576e-12
Vonden we dat toen normaal 	we dat toen normaal Vonden 	we Vonden dat toen normaal	1.233188215269102e-15
Een taart bakken 	bakken Een taart 	Een taart bakken	1.4430696877402864e-14
De heks zuchtte 	De zuchtte heks 	De zuchtte heks	3.329185228696678e-13
Ze verveelde zich 	verveelde Ze zich 	Ze verveelde zich	5.849502803071491e-13
Maar wat was dat 	Maar wat dat was 	Maar wat was dat	8.74408740647259e-10
Dat is waar ook 	Dat waar ook is 	Dat waar ook is	5.822121003551414e-13
Dat had ik goed opgeborgen 	Dat ik had opgeborgen goed 	Dat ik goed opgeborgen had	5.03952076232464e-16
Dit noemen we dynamisch verkeersmanagement 	noemen Dit we dynamisch verkeersmanagement 	Dit noemen we dynamisch verkeersmanagement	1.570381638213991e-19
Dat is niet eenvoudig 	is Dat niet eenvoudig 	Dat is niet eenvoudig	6.614328475653722e-11
Doet u dit niet 	u dit Doet niet 	Doet u dit niet	1.937166795412932e-14
En is het bestemmingsplan vastgesteld 	En het is bestemmingsplan vastgesteld 	En het bestemmingsplan is vastgesteld	5.580376797745682e-16
Heeft u een medische aandoening 	u Heeft een medische aandoening 	u Heeft een medische aandoening	2.22133251933052e-18
Dit heet respijtzorg 	Dit respijtzorg heet 	Dit heet respijtzorg	4.846618467806857e-14
Er zijn verschillende soorten respijtzorg 	Er verschillende zijn soorten respijtzorg 	Er verschillende zijn soorten respijtzorg	2.0854930262500334e-23
Dan ben je meerderjarig 	ben Dan je meerderjarig 	Dan ben je meerderjarig	4.660200583614519e-16
Deze regels staan in CETA 	Deze regels in CETA staan 	Deze regels in staan CETA	9.544984584430645e-23
Dit heet een domicilieadres 	Dit een domicilieadres heet 	Dit heet een domicilieadres	1.8073626581311006e-12
Dat noemen we verrekenen 	Dat we verrekenen noemen 	Dat noemen we verrekenen	2.630362119791212e-13
Verrekenen kan ook bij ondernemingen 	kan ook bij Verrekenen ondernemingen 	ook kan bij Verrekenen ondernemingen	2.6910150081306335e-18
Hiervoor is geen advocaat nodig 	Hiervoor geen advocaat nodig is 	Hiervoor is geen advocaat nodig	1.479803914716153e-18
Dat noemen we het WWmaandloon 	Dat we het WWmaandloon noemen 	Dat noemen we het WWmaandloon	7.282582686770103e-16
Dan stopt de WWuitkering 	Dan de stopt WWuitkering 	Dan stopt de WWuitkering	4.361288404331275e-16
Dat is de vrije ruimte 	Dat de vrije is ruimte 	Dat is de vrije ruimte	1.0565972126569153e-13
Omtrent het Gedrag VOG hebben 	Omtrent het Gedrag hebben VOG 	Omtrent het Gedrag hebben VOG	8.562648740570464e-23
Doet u dit niet 	u dit Doet niet 	Doet u dit niet	1.937166795412932e-14
En mag u starten 	mag En u starten 	En mag u starten	1.6187282143823056e-15
Veranderen uw gegevens 	uw gegevens Veranderen 	Veranderen uw gegevens	1.8113657120430594e-14
U moet een klachtenregeling hebben 	U hebben een moet klachtenregeling 	U moet een klachtenregeling hebben	3.031367758484757e-16
Er is geen beroep mogelijk 	is Er geen beroep mogelijk 	Er is geen beroep mogelijk	2.60898641545564e-16
Hoe kan ik gastouder worden 	Hoe ik kan worden gastouder 	Hoe kan ik gastouder worden	1.6812713773003265e-14
Bijvoorbeeld een achtergelaten koffer 	Bijvoorbeeld een koffer achtergelaten 	Bijvoorbeeld een koffer achtergelaten	1.8453083121165451e-19
Of de politie te bellen 	Of de bellen politie te 	Of de politie te bellen	1.2311959447787927e-15
Waterbesparende maatregelen helpen 	helpen Waterbesparende maatregelen 	Waterbesparende maatregelen helpen	2.4826783452329276e-15
Eer gerelateerd Geweld 	gerelateerd Eer Geweld 	Eer gerelateerd Geweld	1.0480173894195913e-20
Het nummer is 08002000 	Het is nummer 08002000 	Het is nummer 08002000	1.5617589143418422e-10
Hoe kan ik identiteitsfraude voorkomen 	Hoe ik kan voorkomen identiteitsfraude 	Hoe kan ik identiteitsfraude voorkomen	1.2868495546796735e-16
NAVOlidstaten betalen nieuwe projecten gezamenlijk 	NAVOlidstaten nieuwe projecten betalen gezamenlijk 	NAVOlidstaten betalen nieuwe projecten gezamenlijk	4.42822550225197e-22
De aanmeldprocedure verschilt per experiment 	De verschilt aanmeldprocedure per experiment 	De aanmeldprocedure verschilt per experiment	2.137717035704513e-21
Dit gebeurt in het toestemmingsbesluit 	gebeurt Dit in het toestemmingsbesluit 	Dit gebeurt in het toestemmingsbesluit	9.356084603480166e-15
Dit is een bijstandsuitkering 	Dit een is bijstandsuitkering 	Dit is een bijstandsuitkering	1.7374680333934352e-13
Of dubbel glas nemen 	Of dubbel nemen glas 	Of dubbel glas nemen	8.796590753237284e-20
Dat zijn de grotere investeringen 	Dat de zijn grotere investeringen 	Dat de zijn grotere investeringen	9.0475186032849e-21
Heeft u gezondheidsklachten 	u Heeft gezondheidsklachten 	Heeft u gezondheidsklachten	2.5418945052460368e-14
Hoe u dat doet 	Hoe u doet dat 	Hoe u dat doet	9.246612164514945e-12
Belastingteruggaaf berekenen 	berekenen Belastingteruggaaf 	berekenen Belastingteruggaaf	8.411261729573346e-14
Krijgt u geen bericht 	u geen bericht Krijgt 	u Krijgt geen bericht	1.0625633436569603e-16
Kijk op de website mijnpensioenoverzichtnl 	op de website mijnpensioenoverzichtnl Kijk 	op de website Kijk mijnpensioenoverzichtnl	3.306796095717828e-20
Octrooi en patent zijn synoniemen 	Octrooi en patent synoniemen zijn 	Octrooi zijn en patent synoniemen	1.2869861925025945e-20
Hoe kan ik ouderschapsverlof aanvragen 	Hoe ik kan ouderschapsverlof aanvragen 	Hoe kan ik ouderschapsverlof aanvragen	4.540227496763472e-18
Dit kan mondeling of schriftelijk 	kan Dit mondeling of schriftelijk 	Dit kan mondeling of schriftelijk	1.3901102201746856e-19
Op het scherm verschijnt noodoproep 	Op het verschijnt scherm noodoproep 	Op het scherm verschijnt noodoproep	7.096095157370958e-21
Hoe klinkt 52 decibel 	klinkt Hoe 52 decibel 	Hoe klinkt 52 decibel	1.9327187444796113e-14
Het eticket is persoonlijk 	Het is eticket persoonlijk 	Het is eticket persoonlijk	3.650422525457873e-14
De persoonlijke OVchipkaart is persoonsgebonden 	De persoonlijke is OVchipkaart persoonsgebonden 	De persoonlijke OVchipkaart is persoonsgebonden	4.113166208630471e-20
Algoritmes blijken regelmatig te discrimineren 	Algoritmes discrimineren blijken regelmatig te 	Algoritmes blijken regelmatig te discrimineren	3.532295119200666e-24
Is dat lang 	dat Is lang 	dat Is lang	5.24680638881636e-12
Ja dat is ongelofelijk lang 	Ja is dat ongelofelijk lang 	Ja dat is ongelofelijk lang	7.617582048530651e-17
Bent u woningeigenaar 	u Bent woningeigenaar 	Bent u woningeigenaar	1.496226611423851e-12
Dat vermindert de CO2uitstoot 	Dat de vermindert CO2uitstoot 	Dat vermindert de CO2uitstoot	1.2213471146025835e-17
Dat werden de leermanagementsystemen 	werden Dat de leermanagementsystemen 	Dat werden de leermanagementsystemen	4.4523879449809813e-11
Ga er maar aan staan 	er Ga maar aan staan 	Ga er maar aan staan	5.871483136762021e-17
Hoeveel schuld maximaal aflossen 	Hoeveel schuld aflossen maximaal 	Hoeveel schuld aflossen maximaal	4.281373256118483e-20
Hoe verander ik van huisarts 	Hoe ik van verander huisarts 	Hoe ik van verander huisarts	5.821627568376467e-22
Daarvoor heeft u DigiD nodig 	heeft Daarvoor u DigiD nodig 	Daarvoor heeft u DigiD nodig	2.4732127435553967e-21
Dit moet u persoonlijk doen 	moet Dit u persoonlijk doen 	Dit moet u persoonlijk doen	4.8210079960638e-16
Een keurmerk geeft vertrouwen 	Een keurmerk vertrouwen geeft 	Een keurmerk geeft vertrouwen	2.5776469889824957e-19
Iedereen kan keurmerken afgeven 	kan afgeven Iedereen keurmerken 	Iedereen kan keurmerken afgeven	2.61129255180403e-16
Deze instellingen kunnen geaccrediteerd zijn 	zijn kunnen geaccrediteerd Deze instellingen 	Deze instellingen kunnen zijn geaccrediteerd	1.9342268113724258e-17
Wat kunt u doen 	Wat doen u kunt 	Wat kunt u doen	1.2818041074760069e-12
Hoe werkt het college 	werkt Hoe het college 	Hoe werkt het college	4.122490542176099e-14
De gemeentesecretaris ondersteunt het college 	De gemeentesecretaris het college ondersteunt 	De gemeentesecretaris ondersteunt het college	7.982556223563386e-21
Het college vergadert elke dinsdag 	Het college elke dinsdag vergadert 	Het college vergadert elke dinsdag	2.413069290055701e-22
Die bijeenkomsten zijn niet openbaar 	Die zijn bijeenkomsten niet openbaar 	Die zijn bijeenkomsten niet openbaar	4.5208871780702204e-20
Ik kijk naar Tim 	Ik naar kijk Tim 	Ik kijk naar Tim	4.108040960466701e-16
Dat kan wel irritant worden 	Dat wel irritant kan worden 	Dat kan wel irritant worden	3.9481874289645467e-16
Vandaag is de school gesloten 	Vandaag de is gesloten school 	Vandaag is de school gesloten	5.247735627322954e-16
Wat gaan we maken 	Wat gaan maken we 	Wat gaan we maken	1.1693340014626689e-12
Hoe gaan we dat aanpakken 	Hoe gaan aanpakken we dat 	Hoe gaan we dat aanpakken	1.4596125567612943e-16
Ja dat staat erop 	Ja staat dat erop 	Ja dat staat erop	1.5460682024737637e-15
Of is dat een gedachte 	is Of dat een gedachte 	Of dat is een gedachte	1.1936291444845978e-14
Dat bestaat dus echt 	bestaat Dat dus echt 	Dat bestaat dus echt	1.6718134878991865e-13
Dát is een gedachte 	is Dát een gedachte 	Dát is een gedachte	6.583693922090064e-15
Dat viel me al op 	Dat me viel al op 	Dat viel me al op	2.7182960530644958e-15
Hoe kan ik hulp krijgen 	kan Hoe ik krijgen hulp 	Hoe kan ik hulp krijgen	1.1094650874733351e-16
Neem bijvoorbeeld ziekteverzuim 	bijvoorbeeld ziekteverzuim Neem 	bijvoorbeeld Neem ziekteverzuim	1.0578976399507381e-17
De verzuimdrempel zal hoog zijn 	De zijn verzuimdrempel zal hoog 	zal De zijn verzuimdrempel hoog	1.6450089876598203e-18
Bacteriesporen heten endosporen 	heten Bacteriesporen endosporen 	Bacteriesporen heten endosporen	6.718126924572742e-13
Je spreekt van een voedselvergiftiging 	Je van een voedselvergiftiging spreekt 	Je spreekt van een voedselvergiftiging	4.090076390517872e-18
Voedsel goed doorbakken of koken 	Voedsel goed of doorbakken koken 	Voedsel goed koken of doorbakken	5.994576529014914e-22
Maar dat is verleden tijd 	Maar dat verleden is tijd 	Maar dat is verleden tijd	4.287506112655892e-16
Ik had geen zelfvertrouwen 	Ik geen had zelfvertrouwen 	Ik had geen zelfvertrouwen	3.798607649104889e-14
Hoe begon het pesten 	Hoe pesten begon het 	Hoe begon het pesten	6.112953421907744e-15
Ik krijg dit thuis nooit 	krijg Ik dit thuis nooit 	Ik krijg dit thuis nooit	1.057547175281626e-17
Waar piekerde u dan over 	piekerde Waar u dan over 	Waar piekerde u dan over	6.189056852013933e-15
En u bent zo vrolijk 	En u zo vrolijk bent 	En u bent zo vrolijk	7.61721357593297e-17
Wat is een datalek 	Wat een datalek is 	Wat is een datalek	8.745449074609378e-11
