correct	VR	corrected	prob
Dat noemen we homeostase 	Dat we homeostase noemen 	Dat noemen we homeostase	1.8639089455631356e-15
Gebeurtenissen hebben een oorzaak 	Gebeurtenissen een hebben oorzaak 	Gebeurtenissen hebben een oorzaak	5.856069955836059e-17
U krijgt een krediet 	krijgt U een krediet 	U krijgt een krediet	7.398829347324038e-15
Waarom is goed kabelmanagement belangrijk 	is Waarom goed kabelmanagement belangrijk 	Waarom is goed kabelmanagement belangrijk	7.884308088915623e-19
Dit kost 10 extra 	Dit 10 extra kost 	Dit 10 extra kost	2.0386403309994514e-17
Betalen gaat via iDeal 	via gaat Betalen iDeal 	via iDeal gaat Betalen	2.6382677582489966e-17
Technische kennis is daarbij onontbeerlijk 	is Technische kennis daarbij onontbeerlijk 	Technische kennis is daarbij onontbeerlijk	3.391715655505817e-23
Dat zijn er ongeveer 800 	Dat er ongeveer 800 zijn 	Dat zijn er ongeveer 800	4.947408820222801e-14
Hoe zit dat 	zit Hoe dat 	Hoe zit dat	2.0682552804179083e-09
Meer sporten gezonder eten 	sporten Meer eten gezonder 	Meer sporten eten gezonder	1.2087254808509208e-20
Bob drinkt helemaal geen alcohol 	Bob helemaal geen drinkt alcohol 	Bob drinkt helemaal geen alcohol	2.3019396982588142e-18
Je wordt impulsiever en losser 	wordt Je impulsiever en losser 	Je wordt impulsiever en losser	1.4465151769286925e-15
Dat is fijn 	is Dat fijn 	Dat is fijn	2.4452764648473325e-10
Dat is het fijnst 	Dat het fijnst is 	Dat is het fijnst	1.1034854966333103e-09
Zo leest opa voor 	leest Zo opa voor 	leest Zo opa voor	1.2272170843833757e-18
Het is bijna Kerstmis 	Het bijna is Kerstmis 	Het is bijna Kerstmis	7.818272096111604e-15
Opa en oma zijn gekomen 	gekomen zijn Opa en oma 	Opa zijn gekomen en oma	2.614181942425026e-21
Ze blijven heel lang 	blijven Ze heel lang 	Ze blijven heel lang	2.7184056444035345e-12
Het is avond 	Het avond is 	Het avond is	3.2619025890080556e-11
Suze is al naar bed 	Suze al naar is bed 	Suze al is naar bed	4.603468890523013e-21
De hoofdstad is Boekarest 	De is hoofdstad Boekarest 	De hoofdstad is Boekarest	1.7289216165686243e-17
Waargebeurd of Legende 	of Waargebeurd Legende 	of Waargebeurd Legende	1.3379344160289357e-16
Kan geurprikkels omzetten in impulsen 	Kan omzetten geurprikkels in impulsen 	geurprikkels Kan omzetten in impulsen	1.8362038059895107e-23
Kan smaakprikkels omzetten in impulsen 	smaakprikkels in impulsen Kan omzetten 	smaakprikkels Kan omzetten in impulsen	1.8362038059895107e-23
Meer informatie vind je hier 	Meer informatie je hier vind 	Meer informatie vind je hier	5.262423595426107e-17
Dat komt door onzekerheid 	Dat door komt onzekerheid 	Dat komt door onzekerheid	9.146949425687029e-16
Welke kant je ook kiest 	Welke kiest kant je ook 	Welke kant kiest je ook	7.238712328684727e-17
Kies voor Saldo laden 	voor Saldo Kies laden 	Kies laden voor Saldo	1.5590594301784857e-21
Kies daarna voor Saldo aanvullen 	daarna voor aanvullen Kies Saldo 	daarna Kies voor aanvullen Saldo	6.935501803498511e-26
Heb je een NSabonnement 	je een NSabonnement Heb 	je Heb een NSabonnement	6.97641903577499e-16
Schaarste dwingt tot keuzes 	Schaarste tot keuzes dwingt 	Schaarste dwingt tot keuzes	9.503681735252639e-23
Niet alleen consumenten maken keuzes 	Niet maken alleen consumenten keuzes 	Niet alleen maken consumenten keuzes	3.139887992861919e-24
Denk bijvoorbeeld aan olie 	bijvoorbeeld aan Denk olie 	Denk bijvoorbeeld aan olie	4.516953988025171e-16
Hij kan weg 	kan Hij weg 	Hij kan weg	1.511240445139497e-10
In die duisternis wachten verschrikkingen 	In die wachten duisternis verschrikkingen 	In die duisternis wachten verschrikkingen	5.5071933860621595e-22
Sommige microorganismen maken je ziek 	maken Sommige microorganismen je ziek 	Sommige microorganismen maken je ziek	3.626153329716485e-20
Er is nagenoeg geen hinder 	Er nagenoeg geen hinder is 	Er is nagenoeg geen hinder	7.199132126719521e-19
De landen zijn niet onafhankelijk 	De landen niet zijn onafhankelijk 	De landen niet zijn onafhankelijk	2.3079172299451657e-16
Deze keer zegt ze niets 	zegt Deze keer ze niets 	Deze keer zegt ze niets	8.249416262800874e-17
Ze autosleutels zocht 	Ze zocht autosleutels 	Ze zocht autosleutels	1.9089917419881387e-14
Nu word je drijfnat 	word Nu je drijfnat 	Nu je drijfnat word	2.100401781721649e-16
Zoë trok een gezicht 	trok Zoë een gezicht 	Zoë trok een gezicht	4.908890807592124e-16
Ah daar liggen mijn sleutels 	Ah liggen daar mijn sleutels 	Ah liggen daar mijn sleutels	8.887969095899803e-24
Nou ik ga ervandoor 	ga Nou ik ervandoor 	Nou ik ga ervandoor	3.7658276334749854e-17
Wat is een minnelijke schuldregeling 	Wat een minnelijke schuldregeling is 	Wat is een minnelijke schuldregeling	7.312615518082054e-15
De rest wordt kwijtgescholden 	De kwijtgescholden wordt rest 	De rest wordt kwijtgescholden	1.5690359706092456e-12
Hoe verloopt de schuldregeling 	verloopt Hoe de schuldregeling 	Hoe verloopt de schuldregeling	8.305660753189139e-13
Uw VTLB is 120811 	Uw VTLB is 120811 	is Uw VTLB 120811	1.0124764924636895e-19
Hebt u nog vragen 	u nog vragen Hebt 	Hebt u nog vragen	7.070290985154342e-14
Veel dieren zijn polygaam 	Veel dieren polygaam zijn 	Veel dieren zijn polygaam	1.6844916219427484e-16
Ook cliënten hebben seksuele rechten 	Ook hebben cliënten seksuele rechten 	Ook cliënten hebben seksuele rechten	1.1943874810409602e-22
Daartoe worden verschillende levensfasen beschreven 	worden beschreven Daartoe verschillende levensfasen 	Daartoe worden verschillende levensfasen beschreven	3.5959877818961327e-20
Heeft een kind seksuele gevoelens 	een kind Heeft seksuele gevoelens 	een kind Heeft seksuele gevoelens	1.3359308010237665e-20
Sinraptor behoort tot de Metriacanthosauridae 	behoort Sinraptor tot de Metriacanthosauridae 	Sinraptor behoort tot de Metriacanthosauridae	1.94969574146724e-21
Wormen geen skelet 	 geen skelet Wormen 	Wormen   geen skelet	5.086876877386493e-18
Deze wet draagt daartoe bij 	draagt Deze wet daartoe bij 	Deze wet draagt daartoe bij	2.361564135202054e-19
Slimmer werken 	werken Slimmer 	Slimmer werken	3.942245162349804e-12
Ik denk het niet 	Ik het niet denk 	Ik denk het niet	1.068940469617969e-09
Bij glasvezel is dat anders 	Bij is glasvezel dat anders 	Bij glasvezel is dat anders	7.351656365049451e-16
Ben jij een snoepkont 	jij een snoepkont Ben 	jij Ben een snoepkont	3.650203760892788e-15
Je hebt snoep niet nodig 	Je snoep niet hebt nodig 	Je snoep hebt niet nodig	1.6348202975558356e-19
Je hebt snoep niet nodig 	Je snoep hebt niet nodig 	Je snoep hebt niet nodig	1.6348202975558356e-19
In snoep zit veel suiker 	In snoep veel zit suiker 	In snoep zit veel suiker	1.3046563683874182e-21
Je hebt snoep niet nodig 	Je snoep niet hebt nodig 	Je snoep hebt niet nodig	1.6348202975558356e-19
Gezellig kom binnen 	Gezellig kom binnen 	kom Gezellig binnen	1.39370525095219e-14
Wieske wilde graag de roze 	wilde Wieske graag de roze 	Wieske graag de roze wilde	3.2887877783902597e-23
Dat mocht van Katie 	Dat van mocht Katie 	Dat mocht van Katie	1.569995840272119e-14
Je loopt verschillende financiële risicos 	loopt Je verschillende financiële risicos 	Je loopt verschillende financiële risicos	1.394899380524175e-20
Je spaart voor onvoorziene uitgaven 	Je voor onvoorziene uitgaven spaart 	Je spaart voor onvoorziene uitgaven	3.230117445131198e-21
De bank geeft 5 rente 	De bank 5 geeft rente 	De bank geeft 5 rente	4.1786026758261486e-18
Micha spaart met een doel 	spaart Micha met een doel 	spaart Micha met een doel	3.1525361524444124e-19
Micha spaart uit voorzorg 	spaart Micha uit voorzorg 	spaart Micha uit voorzorg	1.2607027193624724e-19
Je noemt dat storten aflossen 	Je dat aflossen noemt storten 	Je noemt dat storten aflossen	4.036703317448058e-19
Wisselen van rijstrook 	van Wisselen rijstrook 	Wisselen van rijstrook	3.474333843942945e-15
Kies voor dezelfde doorgang 	voor dezelfde Kies doorgang 	Kies voor dezelfde doorgang	4.324186112927844e-18
Je noemt dit het spierstelsel 	Je dit het noemt spierstelsel 	Je noemt dit het spierstelsel	9.79546875255936e-17
Spieren maken beweging mogelijk 	Spieren beweging mogelijk maken 	Spieren beweging maken mogelijk	3.395521728825325e-20
Speeksel bevat verteringssappen 	bevat Speeksel verteringssappen 	bevat Speeksel verteringssappen	1.1563862095830704e-15
Heb je nog geen Vitamineaccount 	je nog geen Heb Vitamineaccount 	je Heb nog geen Vitamineaccount	5.203739835045161e-19
De afstand kan worden opgemeten 	worden opgemeten De afstand kan 	De afstand kan worden opgemeten	2.5363371777151626e-17
De snelheid kan worden berekend 	De berekend snelheid worden kan 	De snelheid kan worden berekend	7.567900859322363e-17
Deze kwam uit in 1991 	Deze uit in 1991 kwam 	Deze kwam uit in 1991	4.8289397232246496e-15
Het was een 16bits spelcomputer 	Het een 16bits spelcomputer was 	Het was een 16bits spelcomputer	2.668758867652274e-19
Die afwisseling maakt het geweldig 	Die afwisseling het geweldig maakt 	Die afwisseling maakt het geweldig	2.3693341578557823e-19
Scotts beste vriend is Stiles 	is Scotts beste vriend Stiles 	Scotts beste vriend is Stiles	2.111629559565065e-21
Telecomprovider Voys heeft Eigennummernl overgenomen 	overgenomen Telecomprovider heeft Voys Eigennummernl 	Telecomprovider heeft Voys Eigennummernl overgenomen	8.107245724572383e-23
Noem je naam 	je Noem naam 	Noem je naam	1.0245510895081946e-11
Zeg wat je wilt 	wat Zeg je wilt 	Zeg wat je wilt	8.815775692071161e-17
Noem zo nodig je telefoonnummer 	zo nodig Noem je telefoonnummer 	zo nodig je Noem telefoonnummer	1.5391389860357871e-19
Sluit netjes af 	netjes Sluit af 	Sluit netjes af	1.951769591288978e-15
En dat is zo 	En is dat zo 	En dat is zo	4.111681740155137e-10
Wat is me inhoudelijk opgevallen 	Wat opgevallen me inhoudelijk is 	Wat is me inhoudelijk opgevallen	1.5523942562989671e-18
Was er ruimte voor socialisatie 	er Was ruimte voor socialisatie 	Was er ruimte voor socialisatie	9.576855208004589e-19
Hoe was de beleving 	Hoe de was beleving 	Hoe was de beleving	3.985525598776086e-13
Ik heb met plezier deelgenomen 	heb deelgenomen Ik met plezier 	Ik heb deelgenomen met plezier	3.1471003860438228e-16
Daarom is jouw feedback waardevol 	is Daarom jouw feedback waardevol 	Daarom is jouw feedback waardevol	3.551722281159564e-22
Dan ben je waarschijnlijk verliefd 	ben Dan je waarschijnlijk verliefd 	Dan ben je waarschijnlijk verliefd	2.1264385556153076e-18
Hoe doe je dat 	doe Hoe je dat 	Hoe doe je dat	2.5020854548558706e-10
Wat is toen goed gegaan 	Wat toen goed gegaan is 	Wat is toen goed gegaan	1.7274528281143806e-15
Wat kon beter 	kon Wat beter 	Wat kon beter	1.9053686395517117e-12
Ze wonnen wel allebei 	wonnen Ze wel allebei 	Ze wonnen wel allebei	9.53635167872356e-19
In rode bloedcellen zit hemoglobine 	In rode bloedcellen hemoglobine zit 	In rode bloedcellen zit hemoglobine	1.4235951641945913e-24
Maar opeens bleef ik staan 	Maar opeens bleef staan ik 	Maar opeens bleef ik staan	1.426003565383079e-17
Het schoolplein was weg 	Het was schoolplein weg 	Het schoolplein was weg	4.1591744599998614e-16
Het was een gat geworden 	geworden Het was een gat 	Het was een gat geworden	3.227068081049297e-15
We stonden ervan te kijken 	stonden We ervan kijken te 	We stonden ervan te kijken	6.117151532563406e-17
Van wie is de stad 	is Van wie de stad 	Van wie is de stad	9.587312288056255e-14
Moet het anders 	het Moet anders 	Moet het anders	7.574285471442952e-13
Samen maken wij de stad 	Samen wij maken de stad 	Samen maken wij de stad	1.3257349609591036e-18
Koolstofdioxide is een afvalstof 	is Koolstofdioxide een afvalstof 	Koolstofdioxide is een afvalstof	4.6799512619344744e-17
Het bloed raakt daardoor vervuild 	Het bloed daardoor raakt vervuild 	Het bloed raakt daardoor vervuild	1.3717599955653478e-20
Het transport verloopt via diffusie 	Het transport via diffusie verloopt 	Het transport verloopt via diffusie	2.5172733779690124e-23
Waar gaat deze uitspraak over 	gaat Waar deze uitspraak over 	Waar gaat deze uitspraak over	3.1088635175851094e-17
Verzoekster heeft de Iraakse nationaliteit 	Verzoekster de heeft Iraakse nationaliteit 	Verzoekster heeft de Iraakse nationaliteit	4.802227269181342e-17
Rijden rijden 	 Rijden rijden 	rijden   Rijden	7.235482204833509e-19
Wat heb je gedaan 	heb Wat je gedaan 	Wat heb je gedaan	5.47428360507294e-10
UVS heeft 1000 leden 	heeft UVS 1000 leden 	UVS heeft 1000 leden	2.582615780009626e-13
Er zijn veertien kleedkamers 	Er veertien kleedkamers zijn 	Er zijn veertien kleedkamers	4.048980862785318e-17
Ik ga op onderzoek uit 	Ik op onderzoek uit ga 	Ik ga op onderzoek uit	6.273893799411877e-16
Wat gebeurt er vandaag 	gebeurt Wat er vandaag 	Wat gebeurt er vandaag	7.637063480374613e-12
Afval wordt dan gerecycled 	gerecycled Afval wordt dan 	gerecycled Afval wordt dan	1.2853799798846507e-17
Hij oefent geen wetgevingstaak uit 	Hij geen oefent wetgevingstaak uit 	Hij oefent geen wetgevingstaak uit	2.5271190711173668e-17
De voorzitter is eenmaal herkiesbaar 	De is voorzitter eenmaal herkiesbaar 	De voorzitter is eenmaal herkiesbaar	7.809500428688456e-17
Durf jij te lachen eekhoorn 	lachen Durf jij te eekhoorn 	jij Durf te eekhoorn lachen	3.2448106341422326e-23
Maar dat duurde erg lang 	Maar dat erg lang duurde 	Maar dat duurde erg lang	2.8129044147099765e-15
Hebt u dit schriftelijk doorgegeven 	Hebt u dit doorgegeven schriftelijk 	Hebt u dit schriftelijk doorgegeven	3.782908881959272e-20
Het abonnement loopt automatisch door 	Het abonnement automatisch loopt door 	Het abonnement loopt automatisch door	1.1191853439032802e-20
Waarom worden diepe plassen verondiept 	Waarom worden diepe verondiept plassen 	Waarom diepe plassen worden verondiept	1.9848790312725045e-22
Dat heet verteren 	Dat verteren heet 	Dat heet verteren	5.3648636744179634e-11
Veel zoogdieren zijn planteneters 	Veel zijn zoogdieren planteneters 	Veel zijn zoogdieren planteneters	4.261374829615301e-20
Ook genotmiddelen beïnvloeden het beloningscentrum 	Ook genotmiddelen het beloningscentrum beïnvloeden 	Ook genotmiddelen het beloningscentrum beïnvloeden	1.2917212288436174e-20
Het prikkelt het beloningscentrum 	prikkelt Het het beloningscentrum 	Het prikkelt het beloningscentrum	5.522316169292883e-16
Je gedrag wordt beloond 	Je beloond gedrag wordt 	Je gedrag wordt beloond	4.196599615203342e-18
Nederland wordt duurzaam 	Nederland duurzaam wordt 	Nederland wordt duurzaam	4.4334548987967967e-13
Ons gezamenlijke vertrekpunt is goed 	is Ons gezamenlijke vertrekpunt goed 	Ons gezamenlijke vertrekpunt is goed	4.130286555578846e-21
De hoofdstad is Hanoi 	De hoofdstad Hanoi is 	De hoofdstad is Hanoi	1.191167375829007e-15
Wat zijn bacteriën 	zijn Wat bacteriën 	Wat zijn bacteriën	8.416322970341417e-12
Zo blijft hij in leven 	Zo hij in leven blijft 	Zo blijft hij in leven	7.274685957087713e-17
Toch zijn ze overal 	zijn Toch ze overal 	Toch zijn ze overal	3.4502643977838923e-15
Waar zitten ze 	Waar ze zitten 	Waar zitten ze	1.674579367780609e-10
En houden je huid gezond 	houden En je huid gezond 	En je huid houden gezond	5.661268547592329e-20
Wanneer worden ze vervelend 	worden Wanneer ze vervelend 	Wanneer ze vervelend worden	3.825317417168965e-14
Of ben je weleens verkouden 	ben verkouden Of je weleens 	Of je ben weleens verkouden	6.562037485207789e-20
Virussen veroorzaken deze ziekten 	Virussen deze ziekten veroorzaken 	Virussen deze ziekten veroorzaken	5.374110360189723e-21
Deze virusziekten zijn heel besmettelijk 	zijn Deze virusziekten heel besmettelijk 	Deze virusziekten zijn heel besmettelijk	6.466476351277399e-20
Dat was gek hè 	was Dat gek hè 	Dat was gek hè	4.358665643027274e-14
Wat kun je ertegen doen 	Wat kun doen je ertegen 	Wat kun je ertegen doen	6.484524133878531e-17
Of ben je weleens verkouden 	Of verkouden ben je weleens 	Of verkouden ben je weleens	1.3615116943895429e-21
Virussen veroorzaken deze ziekten 	veroorzaken Virussen deze ziekten 	Virussen deze ziekten veroorzaken	5.374110360189723e-21
Deze virusziekten zijn heel besmettelijk 	Deze virusziekten heel besmettelijk zijn 	Deze virusziekten zijn heel besmettelijk	6.466476351277399e-20
Mensen moesten zoveel mogelijk thuiswerken 	moesten Mensen thuiswerken zoveel mogelijk 	Mensen moesten thuiswerken zoveel mogelijk	1.5006880272290114e-19
Tenminste dat lijkt zo 	Tenminste dat zo lijkt 	Tenminste dat lijkt zo	1.1458243040219038e-14
Blond groot cool gekleed 	Blond groot gekleed cool 	Blond groot cool gekleed	1.7573660407992153e-23
Zonder aarzelen lacht Zoë terug 	lacht Zonder Zoë terug aarzelen 	Zonder Zoë lacht aarzelen terug	2.949150991381218e-23
Shanna volgt haar blik 	volgt Shanna haar blik 	Shanna volgt haar blik	2.8245703756632084e-19
Shanna rekt haar hals 	Shanna haar hals rekt 	Shanna rekt haar hals	1.1060415638690657e-21
Bedoel je Luuk 	je Luuk Bedoel 	je Luuk Bedoel	7.968938320239472e-16
Ik ken hem niet 	Ik hem ken niet 	Ik ken hem niet	3.4489478466633963e-13
Floris rende over de stoep 	Floris over rende de stoep 	Floris over de rende stoep	1.9244608608240497e-21
Hij wreef over zijn knokkels 	Hij over zijn wreef knokkels 	Hij over zijn wreef knokkels	5.36819368104486e-21
De munteenheid is de renminbi 	De munteenheid de renminbi is 	De munteenheid is de renminbi	1.260594059485932e-17
Verschrikkelijk vond hij het 	Verschrikkelijk hij het vond 	Verschrikkelijk vond hij het	1.78798403642292e-17
Ben je 108 	je Ben 108 	Ben je 108	1.506948114719753e-12
Dat heet voortgezette assimilatie 	heet voortgezette Dat assimilatie 	Dat heet voortgezette assimilatie	1.413302678874907e-20
Die stoffen noem je hormonen 	noem Die stoffen je hormonen 	Die stoffen noem je hormonen	5.5884249162922795e-21
Ook jongens krijgen schaamhaar 	Ook jongens schaamhaar krijgen 	Ook jongens krijgen schaamhaar	6.663349435874606e-18
Hun lichaam gaat zaadcellen aanmaken 	Hun lichaam aanmaken gaat zaadcellen 	Hun lichaam gaat aanmaken zaadcellen	2.5730375286670232e-23
Dit heet ongeslachtelijke voortplanting 	heet Dit ongeslachtelijke voortplanting 	Dit heet ongeslachtelijke voortplanting	1.8705613958638568e-17
Dit heet geslachtelijke voortplanting 	Dit geslachtelijke voortplanting heet 	Dit heet geslachtelijke voortplanting	1.8705613958638568e-17
Kwallen hebben wel ongeslachtelijke voortplanting 	Kwallen wel ongeslachtelijke hebben voortplanting 	Kwallen hebben wel ongeslachtelijke voortplanting	5.1997298341812846e-23
De kwal is volwassen geworden 	De kwal volwassen geworden is 	De kwal is volwassen geworden	1.4283922687446443e-15
De variaties zijn talloos 	De zijn variaties talloos 	De zijn variaties talloos	1.3639667699861031e-18
Soms stroomt er lava uit 	Soms er stroomt lava uit 	Soms stroomt er lava uit	1.6879634038633233e-22
Dit vloeibare gesteente heet lava 	heet Dit vloeibare gesteente lava 	Dit heet vloeibare gesteente lava	5.386633714971945e-26
Dit wordt de verbrandingsdriehoek genoemd 	genoemd Dit wordt de verbrandingsdriehoek 	Dit wordt de verbrandingsdriehoek genoemd	1.3406468506986248e-14
Vind je het spannend 	je het Vind spannend 	je Vind het spannend	1.1564066568000633e-13
De slaapkamers zijn al ingeruimd 	ingeruimd zijn De slaapkamers al 	De slaapkamers zijn al ingeruimd	1.4715377288575958e-17
Verder bestaat er flashkruit 	Verder er bestaat flashkruit 	Verder bestaat er flashkruit	3.798836667733116e-16
Wie heeft vuurwerk eigenlijk uitgevonden 	uitgevonden heeft Wie vuurwerk eigenlijk 	Wie heeft vuurwerk eigenlijk uitgevonden	2.952661984478229e-20
Vuurwerk afsteken kan gevaarlijk zijn 	Vuurwerk zijn kan afsteken gevaarlijk 	zijn afsteken kan Vuurwerk gevaarlijk	6.782457051308029e-24
Welke soorten vuurwerk ken jij 	Welke soorten vuurwerk jij ken 	Welke soorten vuurwerk ken jij	6.900762118782456e-22
Hoe is vuurwerk eigenlijk ontstaan 	ontstaan Hoe vuurwerk is eigenlijk 	Hoe is vuurwerk eigenlijk ontstaan	2.743429575315248e-19
Fopen schertsvuurwerk is consumentenvuurwerk 	Fopen is schertsvuurwerk consumentenvuurwerk 	Fopen is schertsvuurwerk consumentenvuurwerk	3.669031840518564e-17
Duidelijker kan het niet 	Duidelijker het niet kan 	Duidelijker kan het niet	4.730837737559389e-15
Doe eens even normaal 	eens even Doe normaal 	eens Doe even normaal	2.3041521952702144e-17
Normen zijn afgeleid van waarden 	afgeleid Normen van waarden zijn 	Normen van zijn afgeleid waarden	2.868718629194814e-20
Het zijn regels 	Het regels zijn 	Het regels zijn	7.837826552090808e-12
Dat is soms best lastig 	Dat soms best is lastig 	Dat is soms best lastig	9.985413927678313e-16
Katten begraven graag hun drollen 	Katten graag begraven hun drollen 	Katten graag hun drollen begraven	1.3490570450478078e-25
Waarom ze dat doen 	Waarom ze doen dat 	Waarom ze dat doen	7.020294015867784e-13
De oplossing is simpel 	De is oplossing simpel 	De oplossing is simpel	1.039112074154545e-13
Draai je plant 	je Draai plant 	je Draai plant	1.4886608102766844e-15
Waarom is dat nodig 	is Waarom dat nodig 	Waarom dat nodig is	5.7077546994107954e-12
Wat is Paarse vrijdag 	is Wat Paarse vrijdag 	Wat is Paarse vrijdag	1.687891619831669e-17
Waarom is dat nodig 	Waarom dat is nodig 	Waarom dat nodig is	5.7077546994107954e-12
Hoe kan dat worden opgelost 	Hoe opgelost worden kan dat 	Hoe kan dat worden opgelost	6.644405728845573e-16
En dat ze worden gesteund 	worden gesteund En dat ze 	En dat ze gesteund worden	1.1031464589550609e-14
Kijk op Gezondverzekerdnl 	op Kijk Gezondverzekerdnl 	Kijk op Gezondverzekerdnl	3.8213793004785858e-16
Voorkom een overdaad aan applicaties 	een Voorkom overdaad aan applicaties 	een overdaad aan applicaties Voorkom	3.561409772022598e-20
Maak gebruik van activerende werkvormen 	gebruik van werkvormen Maak activerende 	Maak gebruik van activerende werkvormen	1.212955635061769e-20
Besteed aandacht aan online socialisatie 	aandacht aan Besteed online socialisatie 	aandacht aan Besteed online socialisatie	5.50590098305645e-25
DDoSaanvallen vinden plaats tegen iedereen 	DDoSaanvallen plaats tegen vinden iedereen 	DDoSaanvallen vinden plaats tegen iedereen	7.103398213669372e-17
Water is voortdurend op reis 	voortdurend Water is op reis 	Water is voortdurend op reis	4.032558164939812e-21
Water bijvoorbeeld zeewater verdampt 	Water verdampt bijvoorbeeld zeewater 	Water verdampt bijvoorbeeld zeewater	2.139144127228002e-22
Laat hem niet uitdrogen 	uitdrogen Laat hem niet 	Laat hem niet uitdrogen	1.5409067044036899e-16
Zoet water is wel drinkbaar 	Zoet water wel is drinkbaar 	Zoet water is wel drinkbaar	1.4656410704672521e-18
Of we wilden komen 	Of komen we wilden 	Of wilden we komen	2.2416700890418002e-15
Wat heb je gemist 	heb Wat gemist je 	Wat heb je gemist	2.9665678293832724e-12
Welke vulkaantypes zijn er 	Welke zijn vulkaantypes er 	Welke vulkaantypes zijn er	2.7206091070317593e-12
Uiteindelijk werd Brazilië vierde 	Uiteindelijk vierde werd Brazilië 	Uiteindelijk vierde werd Brazilië	2.2271280892559015e-20
Duitsland werd wereldkampioen 	Duitsland wereldkampioen werd 	Duitsland werd wereldkampioen	3.129834574826373e-14
Het Pieterpad loopt door Wierum 	Het Pieterpad door Wierum loopt 	Het Pieterpad loopt door Wierum	2.4166438332140457e-21
Heeft u vragen 	Heeft vragen u 	vragen Heeft u	1.9832346848942445e-14
Ook bruikbaarheid vind ik spannend 	Ook bruikbaarheid ik vind spannend 	Ook bruikbaarheid vind ik spannend	4.141676066766713e-21
Hij overleed in zijn geboorteplaats 	Hij in zijn geboorteplaats overleed 	Hij overleed in zijn geboorteplaats	7.555082501576146e-16
Dieren merken het ook 	Dieren het ook merken 	Dieren merken het ook	2.39836958760289e-17
Hij lijkt wel dood 	Hij wel dood lijkt 	Hij lijkt wel dood	7.676254355907959e-13
Dat hoort bij de winterslaap 	Dat bij hoort de winterslaap 	Dat hoort bij de winterslaap	1.1836098659149126e-16
Of ze begrijpen je niet 	Of ze je niet begrijpen 	Of ze begrijpen je niet	1.7184570211850475e-16
Denk aan een sollicitatiegesprek 	aan een sollicitatiegesprek Denk 	Denk aan een sollicitatiegesprek	2.7511470006323373e-17
Wat is zelfregulatie 	is Wat zelfregulatie 	Wat is zelfregulatie	1.323856928722634e-09
Daaromheen bevonden zich kleine boerengemeenschappen 	Daaromheen zich bevonden kleine boerengemeenschappen 	Daaromheen bevonden zich kleine boerengemeenschappen	3.984758731569156e-21
Zij werken in het ziekenhuis 	Zij in het ziekenhuis werken 	Zij werken in het ziekenhuis	5.6829695381265766e-14
Zij stellen een behandeling vast 	Zij een stellen behandeling vast 	Zij stellen een behandeling vast	8.225563231321763e-18
Zij doen de operaties 	Zij de doen operaties 	Zij doen de operaties	1.0072479064579966e-14
Soms duurt dat maanden 	Soms dat duurt maanden 	Soms duurt dat maanden	6.097148811432957e-17
Niemand heeft het ooit gelezen 	gelezen Niemand het ooit heeft 	Niemand heeft het ooit gelezen	1.738254930991169e-17
Die veer was een teken 	Die was veer een teken 	Die veer was een teken	4.781353301141915e-19
Hoe ziet dat eruit 	ziet Hoe dat eruit 	Hoe dat eruit ziet	1.388336165707259e-12
Zij beschikten over koninklijke rijtuigen 	Zij over koninklijke rijtuigen beschikten 	Zij beschikten over koninklijke rijtuigen	2.2120738151247793e-19
Het monster ging haar vermoorden 	Het ging vermoorden monster haar 	Het monster ging haar vermoorden	4.929502330345625e-21
